상품,금융회사,공시이율,최저보증이율,온라인 가입,전화번호,설계사_계약체결비용,설계사_계약관리비용,대리점_계약체결비용,대리점_계약관리비용,온라인_계약체결비용,온라인_계약관리비용,직업,학습,건강,관계,주거,사회참여,여가,재무
 무배당 IBK 인터넷세액공제연금저축보험_2101 , 아이비케이연금보험  , 2.41 , (5년이내) 1.25% (5년초과 10년이내) 1.00% (10년초과) 0.50%, 가능 , 02-1577-4117 ,,,,,"(7년 이내) 보험료의 2.00%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.00%를 매월 징수","(납입기간 이내) 보험료의 3.43%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 연금저축 무배당KDB다이렉트연금보험 , 케이디비생명보험 , 2.55 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.00%, (10년 초과) 0.75%", 가능 , 02-6303-5000 ,(7년 이내) 보험료의 1.50%를 매월 징수,"(납입기간 이내) 보험료의 3.20%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",(7년 이내) 보험료의 1.50%를 매월 징수,"(납입기간 이내) 보험료의 3.20%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",(7년 이내) 보험료의 1.50%를 매월 징수,"(납입기간 이내) 보험료의 3.20%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 세테크NH연금저축보험(무배당)_2101 , 농협생명보험 , 2.20 ," (10년이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-1544-4000 ,"(7년 이내) 보험료의 1.94%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.45%를 매월 징수","(납입기간 이내) 보험료의 4.07%를 매월 징수, (납입기간 이후) 보험료의 1.27%를 매월 징수","(7년 이내) 보험료의 1.94%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.45%를 매월 징수","(납입기간 이내) 보험료의 4.07%를 매월 징수, (납입기간 이후) 보험료의 1.27%를 매월 징수",,,0,0,0,0,100,0,0,0
" NH세테크연금저축보험(Self가입형,무배당) ", 농협생명보험 , 2.20 ," (10년이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-1544-4000 ,,,,,(7년 이내) 보험료의 2.17%를 매월 징수,"(납입기간 이내) 보험료의 2.55%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 e-NH연금저축보험(무배당)_2101 , 농협생명보험 , 2.20 ," (10년이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-1544-4000 ,,,,,(7년 이내) 보험료의 2.17%를 매월 징수,"(납입기간 이내) 보험료의 2.55%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 MAX 연금보험 연금저축(법인) , 푸본현대생명보험 , 2.21 ," (3년 이내) 1.75%, (5년 이내) 1.25%, (5년 초과 10년 이내) 1.15%, (10년 초과) 0.50%", 가능 , 02-3284-7000 ,"(7년 이내) 보험료의 1.87%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.67%를 매월 징수","(납입기간 이내) 보험료의 4.50%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수",,,,,0,0,0,0,100,0,0,0
 한화생명 b연금저축보험 무배당 , 한화생명보험 , 2.26 ," (3년 이내) 1.0%, (3년 초과 5년 이내), 0.75%, (5년 초과) 0.5%", 가능 , 02-789-7114 ,(7년 이내) 보험료의 2.57%를 매월 징수,"(납입기간 이내) 보험료의 3.88%를 매월 징수,(납입기간 이후) 보험료의 1.67%를 매월 징수",(7년 이내) 보험료의 2.57%를 매월 징수,"(납입기간 이내) 보험료의 3.88%를 매월 징수,(납입기간 이후) 보험료의 1.67%를 매월 징수",(7년 이내) 보험료의 2.57%를 매월 징수,"(납입기간 이내) 보험료의 3.88%를 매월 징수,(납입기간 이후) 보험료의 1.67%를 매월 징수",0,0,0,0,100,0,0,0
 한화생명 e연금저축보험 무배당 , 한화생명보험 , 2.26 ," (3년 이내) 1.0%, (3년 초과 5년 이내), 0.75%, (5년 초과) 0.5%", 가능 , 02-789-7114 ,,,,,(7년 이내) 보험료의 1.31%를 매월 징수,"(납입기간 이내) 보험료의 3.17%를 매월 징수,(납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 한화생명 연금저축미래로기업복지연금보험 , 한화생명보험 , 2.14 ," (3년 이내) 1.0%, (3년 초과 5년 이내), 0.75%, (5년 초과) 0.5%", 가능 , 02-789-7114 ,(7년 이내) 보험료의 2.08%를 매월 징수,"(납입기간 이내) 보험료의 3.50%를 매월 징수,(납입기간 이후) 보험료의 1.20%를 매월 징수",(7년 이내) 보험료의 2.08%를 매월 징수,"(납입기간 이내) 보험료의 3.50%를 매월 징수,(납입기간 이후) 보험료의 1.20%를 매월 징수",,,0,0,0,0,100,0,0,0
 교보라이프플래닛무배당b연금저축보험 , 교보라이프플래닛생명보험 , 2.10 , 5년 미만: 1.25%10년 미만 : 1.00%10년 이상 : 0.75%, 가능 , 02-1566-0999 ,,,,,7년 이내 : 기본보험료의 2.62%를 매월 징수 7년 초과 : 없음,납입기간 이내 : 기본보험료의 3.50%를 매월 징수 납입기간 이후 : 기본보험료의 0.67%를 매월 징수,0,0,0,0,100,0,0,0
 연금저축교보로연금보험 , 교보생명보험 , 2.05 ," (5년 미만) 1.25%, (5년 이상 10년 미만) 1%, (10년 이상) 0.5%", 가능 , 1588-0770 ,,,,,,,0,0,0,0,100,0,0,0
 연금저축교보연금보험 , 교보생명보험 , 2.05 ," (5년 미만) 1.25%, (5년 이상 10년 미만) 1%, (10년 이상) 0.5%", 가능 , 1588-0770 ,(10년 이내) 보험료의 2.98%를 매월 징수,"(납입기간 이내) 보험료의 4.17%를 매월 징수, (납입기간 이후) 보험료의 1%를 매월 징수",,,,,0,0,0,0,100,0,0,0
 연금저축교보First연금보험 , 교보생명보험 , 2.05 ," (5년 미만) 1.25%, (5년 이상 10년 미만) 1%, (10년 이상) 0.5%", 가능 , 1588-0770 ,,,"(7년 이내) 보험료의 2.51%를 매월 징수, (7년 초과 10년 이내) 보험료의 0.57%를 매월 징수","(납입기간 이내) 보험료의 4.17%를 매월 징수, (납입기간 이후) 보험료의 1%를 매월 징수",,,0,0,0,0,100,0,0,0
 연금저축수호천사더블파워연금(10년납이상) , 동양생명보험 , 1.89 ," (10년 이내) 1.0%,(10년 초과) 0.5%", 가능 , 02-7289-114 ,(7년 이내) 보험료의 3.93%를 매월 징수,"(납입기간 이내) 보험료의 3.17%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",(7년 이내) 보험료의 3.93%를 매월 징수,"(납입기간 이내) 보험료의 3.17%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",,,0,0,0,0,100,0,0,0
 연금저축수호천사더블파워연금(5년납_7년납) , 동양생명보험 , 1.89 ," (10년 이내) 1.0%,(10년 초과) 0.5%", 가능 , 02-7289-114 ,5년납: (7년 이내) 보험료의 2.68%를 매월 징수7년납: (7년 이내) 보험료의 2.74%를 매월 징수,"(납입기간 이내) 보험료의 3.17%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",5년납: (7년 이내) 보험료의 2.68%를 매월 징수7년납: (7년 이내) 보험료의 2.74%를 매월 징수,"(납입기간 이내) 보험료의 3.17%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",,,0,0,0,0,100,0,0,0
 삼성 연금저축골드연금보험2.7 , 삼성생명보험 , 2.10 ," (10년 이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-751-8000 ,"(7년 이내) 보험료의 3.69%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.90%를 매월 징수","(납입기간 이내) 보험료의 4.8%를 매월 징수, (납입기간 초과) 보험료의 1.0%를 매월 징수",,,,,0,0,0,0,100,0,0,0
 삼성 인터넷연금저축보험2.2(무배당) , 삼성생명보험 , 2.25 ," (10년 이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-751-8000 ,,,,,(7년 이내) 보험료의 1.3%를 매월 징수,"(납입기간 이내) 보험료의 3.5%를 매월 징수, (납입기간 초과) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 삼성 연금저축골드연금보험B2.9 , 삼성생명보험 , 2.10 ," (10년 이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-751-8000 ,,,"(7년 이내) 보험료의 2.55%를 매월 징수, (7년 초과 10년 이내) 보험료의 0.57%를 매월 징수","(납입기간 이내) 보험료의 4.8%를 매월 징수, (납입기간 초과) 보험료의 1.0%를 매월 징수",,,0,0,0,0,100,0,0,0
 신한VIP참연금저축보험Ⅲ , 신한라이프생명보험 , 1.95 ," (10년 이내) 0.50%, (10년 초과) 0.25%", 가능 , 02-3455-4000 ,"(7년 이내) 보험료의 2.18%를 매월 징수,   (7년 초과 10년 이내) 보험료의 0.5%를 매월 징수","(납입기간 이내) 보험료의 4.30%를 매월 징수,  (납입기간 이후) 보험료의 1.00%를 매월 징수","(7년 이내) 보험료의 2.18%를 매월 징수,   (7년 초과 10년 이내) 보험료의 0.5%를 매월 징수","(납입기간 이내) 보험료의 4.30%를 매월 징수,  (납입기간 이후) 보험료의 1.00%를 매월 징수",,,0,0,0,0,100,0,0,0
 신한연금저축보험Premium(무배당) , 신한라이프생명보험 , 2.22 ," (10년 이내) 1.00%, (10년 초과) 0.25%", 가능 , 02-3455-4000 ,,,(5년 이내) 보험료의 1.07%를 매월 징수,"(납입기간 이내) 보험료의 3.33%를 매월 징수,  (납입기간 이후) 보험료의 1.00%를 매월 징수",(5년 이내) 보험료의 1.07%를 매월 징수,"(납입기간 이내) 보험료의 3.33%를 매월 징수,  (납입기간 이후) 보험료의 1.00%를 매월 징수",0,0,0,0,100,0,0,0
 (무)하나원큐연금저축보험 , 하나생명보험 , 2.48 ," (5년이내) 1.25% (5년초과 10년 이내) 1.00%,(10년 초과) 0.75%", 가능 , 080-3488-7000 ,,,,,(7년 이내) 보험료의 2.02%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 보험료의 0.83%를 매월 징수",0,0,0,0,100,0,0,0
 (무)하나세테크e연금저축보험 , 하나생명보험 , 2.48 ," (5년이내) 1.25% (5년초과 10년 이내) 1.00%,(10년 초과) 0.75%", 가능 , 080-3488-7000 ,,,,,(7년 이내) 보험료의 2.02%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 보험료의 0.83%를 매월 징수",0,0,0,0,100,0,0,0
 (무)하나세테크연금저축보험 , 하나생명보험 , 2.48 ," (5년이내) 1.25% (5년초과 10년 이내) 1.00%,(10년 초과) 0.75%", 가능 , 080-3488-7000 ,,,"(7년 이내) 보험료의 2.00%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.46%를 매월 징수","(납입기간 이내) 보험료의 4.50%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수",,,0,0,0,0,100,0,0,0
 한화생명 연금저축하이드림연금보험 , 한화생명보험 , 2.14 ," (3년 이내) 1.0%, (3년 초과 5년 이내), 0.75%, (5년 초과) 0.5%", 가능 , 02-789-7114 ,"(7년 이내) 보험료의 4.18%를 매월 징수,(7년 초과 10년 이내) 보험료의 2.17%를 매월 징수","(납입기간 이내) 보험료의 4.30%를 매월 징수,(납입기간 이후) 보험료의 1.40%를 매월 징수","(7년 이내) 보험료의 4.18%를 매월 징수,(7년 초과 10년 이내) 보험료의 2.17%를 매월 징수","(납입기간 이내) 보험료의 4.30%를 매월 징수,(납입기간 이후) 보험료의 1.40%를 매월 징수",,,0,0,0,0,100,0,0,0
 연금저축손해보험 메리츠 연금보험2108 , 메리츠화재해상보험 , 1.4 ," (5년이하) 1.25%, (5년초과 10년미만) 1.0%, (15년초과 0.3%)", 가능 , 02-1566-7711 ,"(7년 이내) 보험료의 2.04%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.18%를 매월 징수","(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 매월 3,000원 징수","(7년 이내) 보험료의 2.04%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.18%를 매월 징수","(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 매월 3,000원 징수","(7년 이내) 보험료의 2.04%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.18%를 매월 징수","(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 매월 3,000원 징수",0,0,0,0,100,0,0,0
 연금저축손해보험 유배당 다이렉트 연금보험2101(CM) , DB손해보험 , 1.40 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 1.00%,(10년 초과) 0.50%", 가능 , 02-3011-3114 ,,,,,(10년 이내) 보험료의 0.74% 를 매월 징수,"(납입기간 이내)보험료의 1.83%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 연금저축손해보험 스마트 연금보험2101 , DB손해보험 , 1.40 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 1.00%,(10년 초과) 0.50%", 불가능 , 02-3011-3114 ,(10년 이내) 보험료의 1.83% 를 매월 징수,"(납입기간 이내)보험료의 3.12%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",,,,,0,0,0,0,100,0,0,0
 연금저축손해보험 KB멀티플러스연금보험(21.01) , KB손해보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.00%, (10년 초과) 0.20%", 불가능 , 1544-0114 ,(10년 이내) 보험료의 1.93%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후 거치기간중) 책임준비금에서 2,500원을 매월 징수",(10년 이내) 보험료의 1.93%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후 거치기간중) 책임준비금에서 2,500원을 매월 징수",,,0,0,0,0,100,0,0,0
 연금저축손해보험 KB다이렉트연금보험(21.01) , KB손해보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.00%, (10년 초과) 0.20%", 가능 , 1544-0114 ,,,,,(10년 이내) 보험료의 1.50%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후 거치기간중) 책임준비금에서 2,500원을 매월 징수",0,0,0,0,100,0,0,0
 연금저축손해보험 흥국화재 행복디딤돌보험(21.01) , 흥국화재해상보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년이내) 1.00%, (10년 초과) 0.30%", 불가능 , 02-1688-1688 ,"(7년 이내) 보험료의 3.33%를 매월징수, (7년 초과 10년이내) 보험료의 1.94%를 매월징수","(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간이후) 준비금의 0.1%를 매년 징수","(7년 이내) 보험료의 3.33%를 매월징수, (7년 초과 10년이내) 보험료의 1.94%를 매월징수","(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간이후) 준비금의 0.1%를 매년 징수",,,0,0,0,0,100,0,0,0
 연금저축손해보험 노후웰스보험(Hi2108) , 현대해상화재보험 , 1.4 , 5년이하 1.25%/5년초과 10년이하 1.0% / 10년초과 0.3%, 불가능 , 1588-5656 ,10년이내 4.90%,"납입기간 이내 기본보험료의 3.0%, 납입기간이후 연금개시전 3,000원/ 연금수령기간 중: 기본 연금연액의 0.5%",,,,,0,0,0,0,100,0,0,0
 연금저축손해보험 현대해상다이렉트연금보험(Hi2108) , 현대해상화재보험 , 1.4 , 5년이하 1.25%/5년초과 10년이하 1.0% / 10년초과 0.3%, 가능 , 1588-5656 ,,,,,10년이내 1.75%,"납입기간 이내 기본보험료의 3.0%, 납입기간이후 연금개시전 3,000원/연금수령기간 중: 기본 연금연액의 0.5%",0,0,0,0,100,0,0,0
 연금저축손해보험 골드연금보험2101 , 한화손해보험 , 1.4 ," (5년 이하) 1.00%, (5년 초과 10년 이하) 0.75%, (10년 초과) 0.30%", 가능 , 02-6366-7000 ,(10년 이내) 영업보험료의 2.41%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 3,000원을 매월 징수, (연금지급기간 중) 연금연액의 0.5%을 매월 징수",(10년 이내) 영업보험료의 2.41%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 3,000원을 매월 징수, (연금지급기간 중) 연금연액의 0.5%을 매월 징수",판매하지않음,판매하지않음,0,0,0,0,100,0,0,0
 연금저축손해보험 골드연금보험2101 , 한화손해보험 , 1.4 ," (5년 이하) 1.00%, (5년 초과 10년 이하) 0.75%, (10년 초과) 0.30%", 가능 , 02-6366-7000 ,(10년 이내) 영업보험료의 2.41%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 3,000원을 매월 징수, (연금지급기간 중) 연금연액의 0.5%을 매월 징수",(10년 이내) 영업보험료의 2.41%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 3,000원을 매월 징수, (연금지급기간 중) 연금연액의 0.5%을 매월 징수",판매하지않음,판매하지않음,0,0,0,0,100,0,0,0
 연금저축손해보험 삼성화재 연금보험 아름다운생활Ⅱ(2101.12) , 삼성화재해상보험 , 1.4 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 0.75%,(10년 초과) 0.25%", 불가능 , 1588-5114 ,"(7년 이내) 보험료의 1.71%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.69%를 매월 징수","(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 적립부분 보험료 적립금의 0.2%를 매년 징수",,,,,0,0,0,0,100,0,0,0
 연금저축손해보험 삼성화재 다이렉트 연금저축(2101.7) , 삼성화재해상보험 , 1.4 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 0.75%,(10년 초과) 0.25%", 가능 , 1588-5114 ,,,,,(7년 이내) 보험료의 1.4%를 매월 징수,"(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 적립부분 보험료 적립금의 0.2%를 매년 징수",0,0,0,0,100,0,0,0
 연금저축손해보험 삼성화재 연금보험 직장인단체(2104.13) , 삼성화재해상보험 , 1.4 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 0.75%,(10년 초과) 0.25%", 불가능 , 1588-5114 ,"(7년 이내) 보험료의 0.59%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.24%를 매월 징수","(납입기간 이내) 보험료의 2.8%를 매월 징수, (납입기간 이후) 적립부분 보험료 적립금의 0.2%를 매년 징수",,,,,0,0,0,0,100,0,0,0
 let:click 연금저축손해보험(2101) , 롯데손해보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.0%, (10년 초과) 0.3%", 가능 , 02-3455-3114 ,,,,,(10년 이내) 보험료의 1.92% 매월 징수,"(납입기간 이내) 보험료의 2.50% 매월 징수, (납입기간 이후) 책임준비금에서 2500원 매월 징수",0,0,0,0,100,0,0,0
 let:care 연금저축손해보험Ⅱ(2101) , 롯데손해보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.0%, (10년 초과) 0.3%", 불가능 , 02-3455-3114 ,(10년이내) 보험료의 1.03%,"(납입기간 이내) 보험료의 2.00% 매월징수, (납입기간 이후) 책임준비금에서 2500원 매월 징수",,,,,0,0,0,0,100,0,0,0
 let:care 연금저축손해보험Ⅰ(2101) , 롯데손해보험 , 1.4 ," (5년 이내) 1.25%, (5년 초과 10년 이내) 1.0%, (10년 초과) 0.3%", 불가능 , 02-3455-3114 ,(10년이내) 보험료의 2.44%,"(납입기간 이내) 보험료의 3.00% 매월징수, (납입기간 이후) 책임준비금에서 2500원 매월 징수",(10년이내) 보험료의 2.44%,"(납입기간 이내) 보험료의 3.00% 매월징수, (납입기간 이후) 책임준비금에서 2500원 매월 징수",,,0,0,0,0,100,0,0,0
 연금저축손해보험 노후생활지킴이보험2108 , 메리츠화재해상보험 , 1.4 ," (5년이하) 1.25%, (5년초과 10년미만) 1.0%, (15년초과 0.3%)", 가능 , 02-1566-7711 ,"(7년 이내) 보험료의 4%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.69%를 매월 징수","(납입기간 이내) 보험료의 3.1%를 매월 징수, (납입기간 이후) 매월 3,000원 징수","(7년 이내) 보험료의 4%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.69%를 매월 징수","(납입기간 이내) 보험료의 3.1%를 매월 징수, (납입기간 이후) 매월 3,000원 징수","(7년 이내) 보험료의 4%를 매월 징수, (7년 초과 10년 이내) 보험료의 1.69%를 매월 징수","(납입기간 이내) 보험료의 3.1%를 매월 징수, (납입기간 이후) 매월 3,000원 징수",0,0,0,0,100,0,0,0
