표준코드,운용사코드,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률,유형,투자지역,설정액,설정일,보수관련정보(%),운용규모(백만원),수익률(%),자산구성_주식(%),자산구성_채권(%),자산구성_유동성(%),자산구성_기타(%),직업,학습,건강,관계,주거,사회참여,여가,재무
KR5105904548,A01005,삼성WTI원유특별자산투자신탁 1[WTI원유-파생형],삼성자산운용,매우높은위험,32.5777,132.1775,-21.8069,특별자산파생,해외,343.85,2009-02-20, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.01    (매매중개수수료) 0.17," [기준일자] 2021-11-12  (설정원본)          174,263   (순자산총액)           59,828", [기준일자] 2021-11-01  (1개월) 10.06     (6개월) 32.58     (1년) 132.18     (설정이후) -50.45,0,0,78.54,21.46,0,0,0,0,0,0,0,100
K55105B33534,A01005,삼성인도중소형FOCUS증권자투자신탁UH[주식],삼성자산운용,높은위험,37.0963,93.5024,105.2421,주식형,해외,2364.62,2015-11-16, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.13    (매매중개수수료) 0.52," [기준일자] 2021-11-11  (설정원본)           12,059   (순자산총액)           28,515", [기준일자] 2021-11-01  (1개월) -0.06     (6개월) 37.10     (1년) 93.50     (설정이후) 126.93,0,0,2.13,97.87,0,0,0,0,0,0,0,100
KR5203AS2753,A01011,대신VIP Asia Growth 증권투자신탁[주식혼합](운용),대신자산운용,높은위험,26.0814,82.9053,87.4014,혼합주식형,해외,968.42,2014-09-15, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.01    (매매중개수수료) 0.23," [기준일자] 2021-11-12  (설정원본)           19,385   (순자산총액)           18,792", [기준일자] 2021-11-01  (1개월) -1.87     (6개월) 26.08     (1년) 82.91     (설정이후) 95.44,95.25,0,3.53,1.22,0,0,0,0,0,0,0,100
KR5366876906,A01072,하이월드에너지증권자투자신탁(주식-재간접형)(UH),하이자산운용,매우높은위험,23.4894,100.2005,5.4426,재간접형,해외,761.93,2008-09-09, [기준일자] 2021-10-29  (보수) 2.07    (수수료) 0.00    (TER) 2.07    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)            7,470   (순자산총액)            7,595", [기준일자] 2021-11-01  (1개월) 7.23     (6개월) 23.49     (1년) 100.20     (설정이후) -1.70,0,0,15.59,84.41,0,0,0,0,0,0,0,100
KR5221383346,A01014,키움프런티어신종법인용 MMF 1,키움투자자산운용,낮은위험,.4793,.9738,4.4673,단기금융(MMF),국내,1002.66,2003-08-28, [기준일자] 2021-10-29  (보수) 0.08    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.01," [기준일자] 2021-11-12  (설정원본)          542,574   (순자산총액)          544,075", [기준일자] 2021-11-01  (1개월) 0.11     (6개월) 0.48     (1년) 0.97     (설정이후) 70.14,0,47.7,45.32,6.98,0,0,0,0,0,0,0,100
K55105BJ8567,A01005,삼성KODEX WTI원유선물특별자산상장지수투자신탁[원유-파생형](H),삼성자산운용,매우높은위험,30.1589,126.2043,-46.7256,특별자산파생,해외,12462.12,2016-12-23, [기준일자] 2021-10-29  (보수) 0.35    (수수료) 0.00    (TER) 0.44    (매매중개수수료) 0.26," [기준일자] 2021-11-12  (설정원본)          190,009   (순자산총액)          190,009", [기준일자] 2021-11-01  (1개월) 11.16     (6개월) 30.16     (1년) 126.20     (설정이후) -36.57,15.91,0,64.59,19.49,0,0,0,0,0,0,0,100
K55301B58213,A01048,미래에셋인도중소형포커스증권자투자신탁 1(주식),미래에셋자산운용,높은위험,31.8925,89.0584,127.2536,주식형,해외,3376.7,2015-09-18, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.11    (매매중개수수료) 0.22," [기준일자] 2021-11-11  (설정원본)           82,814   (순자산총액)          279,638", [기준일자] 2021-11-01  (1개월) -0.04     (6개월) 31.89     (1년) 89.06     (설정이후) 217.67,0,0,0.17,99.83,0,0,0,0,0,0,0,100
KR5237A90350,A01021,한화단기하이일드증권자투자신탁(채권),한화자산운용,보통위험,1.8905,7.261,12.9401,채권형,해외,1139.72,2012-03-12, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.60    (TER) 0.04    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)           53,047   (순자산총액)           60,459", [기준일자] 2021-11-01  (1개월) 0.01     (6개월) 1.89     (1년) 7.26     (설정이후) 41.76,0,0,3.06,96.94,0,0,0,0,0,0,0,100
KR5225287949,A01048,미래에셋TIGER원유선물 특별자산상장지수투자신탁[원유-파생형],미래에셋자산운용,매우높은위험,30.4655,114.3366,-24.462,특별자산파생,해외,3774.9,2010-07-30, [기준일자] 2021-10-29  (보수) 0.69    (수수료) 0.00    (TER) 0.76    (매매중개수수료) 0.20," [기준일자] 2021-11-12  (설정원본)           60,719   (순자산총액)           60,719", [기준일자] 2021-11-01  (1개월) 10.90     (6개월) 30.47     (1년) 114.34     (설정이후) -61.64,0,0,59.05,40.95,0,0,0,0,0,0,0,100
KR5237AN0497,A01021,한화연금단기하이일드증권자투자신탁(채권),한화자산운용,보통위험,1.9047,7.2419,13.1193,채권형,해외,1237.43,2013-12-19, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.03    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)           19,479   (순자산총액)           24,104", [기준일자] 2021-11-01  (1개월) 0.01     (6개월) 1.90     (1년) 7.24     (설정이후) 30.51,0,0,1.88,98.12,0,0,0,0,50,0,0,50
KR5214272621,A01005,삼성베스트MMF법인 1,삼성자산운용,매우낮은위험,.4858,.9613,4.5347,단기금융(MMF),국내,1005.08,2010-05-17, [기준일자] 2021-10-29  (보수) 0.08    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)          490,791   (순자산총액)          493,333", [기준일자] 2021-11-01  (1개월) 0.10     (6개월) 0.49     (1년) 0.96     (설정이후) 391.17,0,77.73,22.27,0,0,0,0,0,0,0,0,100
KR5101622615,A01001,한국투자베트남증권자투자신탁 1(주식혼합),한국투자신탁운용,높은위험,27.2267,70.9179,76.2557,혼합주식형,해외,1779.49,2006-11-21, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.17," [기준일자] 2021-11-12  (설정원본)           51,419   (순자산총액)           91,088", [기준일자] 2021-11-01  (1개월) 4.59     (6개월) 27.23     (1년) 70.92     (설정이후) 110.07,0,0,0.47,99.53,0,0,0,0,0,0,0,100
KR5366876898,A01072,하이월드에너지증권자투자신탁(주식-재간접형)(H),하이자산운용,매우높은위험,18.0808,93.2753,-1.4262,재간접형,해외,641.8,2008-09-18, [기준일자] 2021-10-29  (보수) 2.07    (수수료) 0.00    (TER) 2.08    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)           72,925   (순자산총액)           55,728", [기준일자] 2021-11-01  (1개월) 8.99     (6개월) 18.08     (1년) 93.28     (설정이후) -16.27,0,0,11.92,88.08,0,0,0,0,0,0,0,100
K55223BH6453,A01031,KB베트남포커스증권자투자신탁(주식)(운용),케이비자산운용,높은위험,32.6168,88.1949,87.0321,주식형,해외,1986.22,2016-09-27, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.31    (매매중개수수료) 0.45," [기준일자] 2021-11-11  (설정원본)            6,128   (순자산총액)           12,171", [기준일자] 2021-11-01  (1개월) 6.92     (6개월) 32.62     (1년) 88.19     (설정이후) 114.13,0,0,0.19,99.81,0,0,0,0,0,0,0,100
K55301AZ7398,A01048,미래에셋인도채권증권자투자신탁 1(채권),미래에셋자산운용,보통위험,6.2081,6.5486,24.2255,채권형,해외,1086.98,2015-04-27, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.05    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)           18,178   (순자산총액)           19,759", [기준일자] 2021-11-01  (1개월) -2.21     (6개월) 6.21     (1년) 6.55     (설정이후) 39.57,0,0,0.23,99.77,0,0,0,0,0,0,0,100
KR5101AO9953,A01001,한국투자연금베트남증권자투자신탁(주식혼합),한국투자신탁운용,높은위험,27.0569,70.2904,75.2632,혼합주식형,해외,1620.04,2014-12-12, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.17," [기준일자] 2021-11-12  (설정원본)          132,232   (순자산총액)          213,260", [기준일자] 2021-11-01  (1개월) 4.57     (6개월) 27.06     (1년) 70.29     (설정이후) 188.12,0,0,0.88,99.12,0,0,0,0,50,0,0,50
KR5102161936,A01002,하나UBS신종MMF S-29,하나유비에스자산운용,매우낮은위험,.4756,.9455,4.3942,단기금융(MMF),국내,1006.09,2000-03-25, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)        3,913,375   (순자산총액)        3,937,628", [기준일자] 2021-11-01  (1개월) 0.10     (6개월) 0.48     (1년) 0.95     (설정이후) 99.82,0,45.64,54.36,0,0,0,0,0,0,0,0,100
K55301CC8524,A01048,미래에셋TIGER2차전지테마증권상장지수투자신탁(주식),미래에셋자산운용,높은위험,24.1856,112.769,159.0666,주식형,국내,23767.03,2018-09-11, [기준일자] 2021-10-29  (보수) 0.50    (수수료) 0.00    (TER) 0.55    (매매중개수수료) 0.05," [기준일자] 2021-11-12  (설정원본)        1,321,751   (순자산총액)        1,321,751", [기준일자] 2021-11-01  (1개월) -4.89     (6개월) 24.19     (1년) 112.77     (설정이후) 127.07,99.82,0,0.18,0.01,0,0,0,0,0,0,0,100
KR5210948661,A01018,신한에너지인덱스플러스증권자투자신탁 1[채권-파생형](종류),신한자산운용,매우높은위험,43.2125,85.9546,-11.2645,채권파생형,혼합,364.73,2009-06-09, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.19," [기준일자] 2021-11-12  (설정원본)            5,431   (순자산총액)            2,015", [기준일자] 2021-11-01  (1개월) 6.77     (6개월) 43.21     (1년) 85.95     (설정이후) -61.31,0,0,0.59,99.41,0,0,0,0,0,0,0,100
K55301B33695,A01048,미래에셋연금러시아업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,29.0564,84.7958,79.8517,주식형,해외,1208.28,2015-06-02, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.11," [기준일자] 2021-11-11  (설정원본)           14,844   (순자산총액)           17,936", [기준일자] 2021-11-01  (1개월) 6.84     (6개월) 29.06     (1년) 84.80     (설정이후) 168.14,0,0,0.16,99.84,0,0,0,0,50,0,0,50
K55105B19418,A01005,삼성KODEX미국에너지증권상장지수투자신탁[주식-파생형](합성),삼성자산운용,매우높은위험,19.9216,107.4253,-7.5942,주식파생형,해외,7922.63,2015-04-27, [기준일자] 2021-10-29  (보수) 0.25    (수수료) 0.00    (TER) 0.36    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)           24,189   (순자산총액)           24,189", [기준일자] 2021-11-01  (1개월) 7.83     (6개월) 19.92     (1년) 107.43     (설정이후) -20.74,5.39,0,0.38,94.23,0,0,0,0,0,0,0,100
K55105B33427,A01005,삼성인도중소형FOCUS증권자투자신탁H[주식-파생형],삼성자산운용,매우높은위험,31.1123,85.4563,91.6934,주식파생형,해외,2125.48,2015-11-19, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.13    (매매중개수수료) 0.54," [기준일자] 2021-11-12  (설정원본)           10,984   (순자산총액)           23,178", [기준일자] 2021-11-01  (1개월) 1.02     (6개월) 31.11     (1년) 85.46     (설정이후) 106.45,0,0,4.13,95.87,0,0,0,0,0,0,0,100
KR5301767814,A01048,미래에셋러시아업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,29.071,84.756,79.822,주식형,해외,1112.94,2007-12-05, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.11," [기준일자] 2021-11-11  (설정원본)           15,027   (순자산총액)           16,724", [기준일자] 2021-11-01  (1개월) 6.84     (6개월) 29.07     (1년) 84.76     (설정이후) 16.79,0,0,0.16,99.84,0,0,0,0,0,0,0,100
K55365BF8046,A01069,메리츠베트남증권투자신탁[주식혼합],메리츠자산운용,높은위험,22.0704,56.9894,44.4783,혼합주식형,해외,1432.68,2016-09-12, [기준일자] 2021-10-29  (보수) 0.96    (수수료) 2.00    (TER) 1.07    (매매중개수수료) 0.11," [기준일자] 2021-11-12  (설정원본)           53,086   (순자산총액)           75,747", [기준일자] 2021-11-01  (1개월) 5.13     (6개월) 22.07     (1년) 56.99     (설정이후) 52.18,77.18,0,7.19,15.63,0,0,0,0,0,0,0,100
K55105CU9395,A01005,삼성미국투자적격장기채권증권자투자신탁UH[채권],삼성자산운용,보통위험,10.7212,4.9285,,채권형,해외,1076.64,2019-08-30, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.03    (매매중개수수료) 0.01," [기준일자] 2021-11-11  (설정원본)           14,509   (순자산총액)           15,621", [기준일자] 2021-11-01  (1개월) -0.47     (6개월) 10.72     (1년) 4.93     (설정이후) 5.80,0,0,4.15,95.85,0,0,0,0,0,0,0,100
KR5214987558,A01022,유진챔피언HIT신종H-2MMF,유진자산운용,매우낮은위험,.4507,.928,4.3851,단기금융(MMF),국내,1007.67,2011-01-13, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)          225,327   (순자산총액)          227,078", [기준일자] 2021-11-01  (1개월) 0.09     (6개월) 0.45     (1년) 0.93     (설정이후) 25.43,0,68.85,23.32,7.84,0,0,0,0,0,0,0,100
K55105CD4207,A01005,삼성KODEX 2차전지산업증권상장지수투자신탁[주식],삼성자산운용,높은위험,16.3289,101.6652,150.0891,주식형,국내,24157.73,2018-09-11, [기준일자] 2021-10-29  (보수) 0.45    (수수료) 0.00    (TER) 0.55    (매매중개수수료) 0.05," [기준일자] 2021-11-12  (설정원본)        1,243,342   (순자산총액)        1,243,342", [기준일자] 2021-11-01  (1개월) -5.50     (6개월) 16.33     (1년) 101.67     (설정이후) 132.48,99.83,0,0.17,0,0,0,0,0,0,0,0,100
KR5107671343,A01007,우리베트남민영화혼합증권투자신탁 1,우리자산운용,높은위험,19.285,53.5877,58.2925,혼합주식형,해외,6399.13,2007-04-02, [기준일자] 2021-10-29  (보수) 0.56    (수수료) 0.00    (TER) 0.77    (매매중개수수료) 0.20," [기준일자] 2021-11-12  (설정원본)            8,180   (순자산총액)           10,413", [기준일자] 2021-11-01  (1개월) 6.09     (6개월) 19.29     (1년) 53.59     (설정이후) 52.60,86.95,0,9.32,3.73,0,0,0,0,0,0,0,100
K55301BC4821,A01048,미래에셋미국달러우량회사채증권자투자신탁 1(UH)(채권),미래에셋자산운용,다소높은위험,7.6427,4.1206,29.486,채권형,해외,1158.09,2016-05-30, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.02    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)            8,170   (순자산총액)            9,461", [기준일자] 2021-11-01  (1개월) -1.35     (6개월) 7.64     (1년) 4.12     (설정이후) 28.17,0,0,1.67,98.33,0,0,0,0,0,0,0,100
KR5234AP2866,A01042,IBK2.0배레버리지인덱스증권투자신탁 [주식-파생],아이비케이자산운용,매우높은위험,-13.0101,79.0623,123.3937,주식파생형,국내,2047.0,2014-03-13, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.01    (매매중개수수료) 0.12," [기준일자] 2021-11-12  (설정원본)           19,255   (순자산총액)           40,328", [기준일자] 2021-11-01  (1개월) -6.81     (6개월) -13.01     (1년) 79.06     (설정이후) 127.17,61.19,0,16.95,21.86,0,0,0,0,0,0,0,100
KR5373144900,A01082,현대클린개인MMF 1,현대자산운용,매우낮은위험,.4558,.9231,4.557,단기금융(MMF),국내,1003.43,2009-07-08, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.01," [기준일자] 2021-11-12  (설정원본)           41,173   (순자산총액)           41,319", [기준일자] 2021-11-01  (1개월) 0.09     (6개월) 0.46     (1년) 0.92     (설정이후) 31.89,0,48.19,22.04,29.77,0,0,0,0,0,0,0,100
K55206CW7155,A01014,키움베트남투모로우증권자투자신탁UH[주식],키움투자자산운용,높은위험,41.9555,84.2394,,주식형,해외,1613.29,2019-10-18, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.10    (매매중개수수료) 0.26," [기준일자] 2021-11-11  (설정원본)            5,217   (순자산총액)            8,417", [기준일자] 2021-11-01  (1개월) 8.69     (6개월) 41.96     (1년) 84.24     (설정이후) 65.49,0,0,0.56,99.44,0,0,0,0,0,0,0,100
KR5204334258,A01001,한국투자신종법인용MMF 15,한국투자신탁운용,매우낮은위험,.4776,.9225,4.3594,단기금융(MMF),국내,1008.05,2002-01-07, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)          645,274   (순자산총액)          650,548", [기준일자] 2021-11-01  (1개월) 0.10     (6개월) 0.48     (1년) 0.92     (설정이후) 74.19,0,32.86,67.14,0,0,0,0,0,0,0,0,100
KR5101AO2396,A01001,한국투자미국MLP특별자산자투자신탁(오일가스인프라-파생형),한국투자신탁운용,매우높은위험,21.1247,77.6817,3.3038,특별자산파생,해외,771.02,2014-03-03, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.05    (매매중개수수료) 0.09," [기준일자] 2021-11-12  (설정원본)           18,650   (순자산총액)           14,467", [기준일자] 2021-11-01  (1개월) 7.13     (6개월) 21.12     (1년) 77.68     (설정이후) -13.03,0,0,1.03,98.97,0,0,0,0,0,0,0,100
KR5236A33337,A01044,한국밸류10년투자어린이증권투자신탁 1(주식),한국투자밸류자산운용,높은위험,13.5683,79.438,83.3029,주식형,국내,1460.79,2011-05-19, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.00    (매매중개수수료) 0.72," [기준일자] 2021-11-11  (설정원본)           45,347   (순자산총액)           66,242", [기준일자] 2021-11-01  (1개월) 3.86     (6개월) 13.57     (1년) 79.44     (설정이후) 211.95,87.18,0,12.33,0.49,0,0,0,0,0,0,0,100
K55105CL6061,A01005,삼성달러크레딧중장기채권증권자투자신탁H[채권],삼성자산운용,다소높은위험,1.6551,3.9805,,채권형,해외,1087.16,2019-11-18, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.02    (매매중개수수료) 0.03," [기준일자] 2021-11-11  (설정원본)           59,916   (순자산총액)           65,138", [기준일자] 2021-11-01  (1개월) -0.45     (6개월) 1.66     (1년) 3.98     (설정이후) 9.20,0,0,25.92,74.08,0,0,0,0,0,0,0,100
KRM225631402,A01048,미래에셋베트남증권투자회사 1(주식혼합),미래에셋자산운용,높은위험,23.7601,50.8437,57.6186,혼합주식형,해외,7176.93,2006-12-18, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.50    (TER) 0.15    (매매중개수수료) 0.14," [기준일자] 2021-11-12  (설정원본)           27,113   (순자산총액)           38,777", [기준일자] 2021-11-01  (1개월) 6.03     (6개월) 23.76     (1년) 50.84     (설정이후) 286.75,73.1,7.04,6.16,13.7,0,0,0,0,0,0,0,100
K55301B73741,A01048,미래에셋TIGER미디어컨텐츠증권상장지수투자신탁(주식),미래에셋자산운용,매우높은위험,47.6761,98.8088,63.1262,주식형,국내,10676.86,2015-10-06, [기준일자] 2021-10-29  (보수) 0.50    (수수료) 0.00    (TER) 0.55    (매매중개수수료) 0.05," [기준일자] 2021-11-12  (설정원본)          108,396   (순자산총액)          108,396", [기준일자] 2021-11-01  (1개월) 16.50     (6개월) 47.68     (1년) 98.81     (설정이후) 37.66,99.92,0,0.07,0.01,0,0,0,0,0,0,0,100
KR5103972950,A01021,한화2.2배레버리지인덱스증권투자신탁(주식-파생재간접형),한화자산운용,매우높은위험,-17.7599,74.7519,120.6981,재간접파생형,국내,1477.3,2010-12-24, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.02    (매매중개수수료) 0.25," [기준일자] 2021-11-12  (설정원본)           60,278   (순자산총액)           91,319", [기준일자] 2021-11-01  (1개월) -7.28     (6개월) -17.76     (1년) 74.75     (설정이후) 59.90,0,0,9.97,90.03,0,0,0,0,0,0,0,100
KR5301511063,A01048,미래에셋인디아디스커버리증권투자신탁 1(주식),미래에셋자산운용,높은위험,30.1173,76.1118,105.5586,주식형,해외,2439.85,2005-09-15, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.14    (매매중개수수료) 0.22," [기준일자] 2021-11-11  (설정원본)           25,944   (순자산총액)           63,299", [기준일자] 2021-11-01  (1개월) -0.19     (6개월) 30.12     (1년) 76.11     (설정이후) 517.08,97.4,0,2.43,0.16,0,0,0,0,0,0,0,100
K55301B52695,A01048,미래에셋TIGER유로스탁스50레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),미래에셋자산운용,매우높은위험,10.5889,97.9767,50.5273,혼합주식파생형,해외,11135.94,2015-07-27, [기준일자] 2021-10-29  (보수) 0.58    (수수료) 0.00    (TER) 0.65    (매매중개수수료) 0.06," [기준일자] 2021-11-12  (설정원본)           16,779   (순자산총액)           16,779", [기준일자] 2021-11-01  (1개월) 7.01     (6개월) 10.59     (1년) 97.98     (설정이후) 5.54,0,0,62.6,37.4,0,0,0,0,0,0,0,100
