분류,상품명,설명,비율,제목
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,112.3,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
여행자보험(해외) 상품,let:click 해외여행보험(III),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,let:click 해외여행보험(III),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,let:click 해외여행보험(III),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,let:click 해외여행보험(III),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,스마트ON 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,스마트ON 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,스마트ON 해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,스마트ON 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,프로미 다이렉트 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,프로미 다이렉트 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,프로미 다이렉트 해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,프로미 다이렉트 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,농협해외여행자보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,농협해외여행자보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,농협해외여행자보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,농협해외여행자보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,캐롯 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
