분류,상품명,보장금액,보장내용,1차 영역,2차 영역,지급사유,분류코드
여행자보험(국내) 상품,국내여행자보험,입원1000만원 통원10만원 입통원합산 1000만원,상해비급여 의료비,여가,건강,상해로 국내의료기관에서 발생한 처방의료비를 가입금액 한도내 지급,14
여행자보험(국내) 상품,국내여행자보험,입원1000만원 통원10만원 입통원합산 1000만원,질병비급여 의료비,여가,건강,질병으로 국내의료기관에 입원 또는 통원(외래 및 처방조제 합산) 하여 치료 받은 경우 비급여 의료비 지급 (3대비급여 제외),14
여행자보험(국내) 상품,국내여행자보험,250만원 ~ 350만원,3대비급여 의료비,여가,건강,상해 또는 질병의 치료를 목적으로 국내의료기관에 입원 또는 통원하여 3대비급여 치료를 받은 경우 - 도수치료·체외충격파치료·증식치료 : 350만원/50회 - 주사료 : 250만원/50회 - MRI/MRA : 300만원,14
여행자보험(국내) 상품,국내여행자보험,500만원,배상책임,여가,재무,제3자에 대한 배상책임 발생 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,KB국내여행보험,1억,상해사망 및 후유장해,여가,"관계, 건강",상해사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,KB국내여행보험,1000만원,질병사망 및 후유장해,여가,"관계, 건강",질병사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,KB국내여행보험,3000만원,배상책임,여가,재무,제3자에 대한 배상책임 발생 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,let:discover 국내여행보험,1억원,상해사망 및 후유장해,여가,"관계, 건강",국내여행중 상해의 직접결과 사망하거나 후유장해 상태가 된 경우,14
여행자보험(국내) 상품,let:discover 국내여행보험,1000만원,상해실손입원의료비,여가,건강,국내여행중 입은 상해로 인하여 국내병원에 입원하여 치료를 받은 경우,14
여행자보험(국내) 상품,let:discover 국내여행보험,10만원,상해실손통원의료비,여가,건강,국내여행중 입은 상해로 인하여 국내의료기관에 통원하여 치료를 받은 경우 ,14
여행자보험(국내) 상품,let:discover 국내여행보험,5만원,상해실손처방의료비,여가,건강,국내여행중 입은 상해로 인하여 국내의료기관에서 처방조제를 받은 경우 ,14
여행자보험(국내) 상품,let:discover 국내여행보험,1000만원,질병사망 및 후유장해,여가,"관계, 건강",국내여행중 질병으로 사망하거나 80%이상 후유장해 상태가 된 경우,14
여행자보험(국내) 상품,let:discover 국내여행보험,1000만원,질병실손입원의료비,여가,건강,국내여행중 입은 질병으로 인하여 국내병원에 입원하여 치료를 받은 경우 ,14
여행자보험(국내) 상품,let:discover 국내여행보험,10만원,질병실손통원의료비,여가,건강,국내여행중 입은 질병으로 인하여 국내의료기관에 통원하여 치료를 받은 경우,14
여행자보험(국내) 상품,let:discover 국내여행보험,5만원,질병실손처방의료비,여가,건강,국내여행중 입은 질병으로 인하여 국내의료기관에서 처방조제를 받은 경우 ,14
여행자보험(국내) 상품,let:discover 국내여행보험,500만원,배상책임,여가,재무,국내여행중 우연한 사고로 타인의 신체 장해 또는 재물의 손해에 대한 법률상의 배상책임을 부담함으로써 입은 손해를 입힌 경우 가입금액 한도로 보상(자기부담금 1만원),14
여행자보험(국내) 상품,국내여행보험,3억원,상해사망(만19세이상),여가,재무,상해사망 발생 시 가입금액 지급,14
여행자보험(국내) 상품,국내여행보험,3억원,상해 후유장해,여가,건강,상해 후유장해 발생 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,국내여행보험,5000만원,질병사망 및 고도후유장해(만19세이상),여가,"관계, 건강",질병사망 및 고도후유장해 발생 시 가입금액 지급,14
여행자보험(국내) 상품,국내여행보험,5000만원,상해의료비(급여),여가,건강,상해로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,국내여행보험,5000만원,질병의료비(급여),여가,건강,질병으로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,국내여행보험,1000만원,배상책임,여가,재무,제3자에 대한 배상책임 발생 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,국내여행보험,5000만원,상해의료비(비급여),여가,건강,상해로 인하여 국내의료기관에서 비급여 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,국내여행보험,5000만원,질병의료비(비급여),여가,건강,질병으로 국내의료기관에서 비급여 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,국내여행보험,도수치료체외충격파증식치료(350만원) 주사료(250만원) 자기공명영상진단(300만원),3대비급여,여가,건강,"상해 또는 질병으로 국내의료기관에서 비급여 도수치료, 체외충격파, 증식치료/주사료/자기공명영상진단을 받은 경우 가입금액 한도로 보상",14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1억원,상해사망 및 후유장해,"학습, 직업","관계, 건강",보험기간 중 피보험자가 보험증권에 기재된 해외체류 도중(주거지를 출발하여 체류를 마치고 주거지에 도착할 때까지를 포함힙니다)에 발생한 상해의 직접결과로 사망하거나 장해분류표에서 정한 각 장해지급율에 해당하는 장해상태가 되었을 때,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1000만원,해외상해발생의료비,"학습, 직업",건강,피보험자가 해외체류 중에 상해로 인하여 해외의료기관에서 의료비 발생시 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1000만원,상해국내발생입원의료비,"학습, 직업",건강,피보험자가 해외체류중에 상해로 인하여 국내의료기관에서 입원의료비 발생시 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,10만원,상해국내발생통원의료비,"학습, 직업",건강,피보험자가 해외체류중에 상해로 인하여 국내의료기관에서 통원하여 치료받은 경우에 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,5만원,상해국내발생처방의료비,"학습, 직업",건강,피보험자가 해외체류중에 상해로 인하여 국내의료기관에서 처방조제를 받은 경우에 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1000만원,질병사망 및 후유장해,"학습, 직업","관계, 건강",해외체류중 발생한 질병으로 인하여 보험기간중 또는 보험기간 종류후 30일 이내에 사망한 경우,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1000만원,질병국내입원의료비,"학습, 직업",건강,피보험자가 해외체류중에 질병으로 인하여 국내의료기관에서 입원의료비 발생시 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,10만원,질병국내통원의료비,"학습, 직업",건강,피보험자가 해외체류중에 질병으로 인하여 국내의료기관에서 통원하여 치료받은 경우에 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,5만원,질병국내처방의료비,"학습, 직업",건강,피보험자가 해외체류중에 질병으로 인하여 국내의료기관에서 처방조제를 받은 경우에 보상,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,500만원,특별비용,"학습, 직업","관계, 건강",여행도중 피보험자가 탑승한 선박 또는 항공기가 행방불명 되거나 조난된 경우 또는 산악등반 중에 조난된 경우 여행도중 우연한 사고로 긴급수색 구조등이 필요한 상태로 된 것이 공공기관에 의해 확인된 경우 여행중 상해를 직접원인으로 하여 사고일로부터 1년 이내 사망하거나 14일 이상 계속 입원한 경우 질병을 직접원인으로 하여 여행도중 사망하거나 여행중  질병을 직접원인으로 하여 14일 이상 계속 입원한 경우,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,500만원,배상책임,"학습, 직업",재무,피보험자가 해외체류 도중 우연한 사고로 타인의 신체의 장해 또는 재물의 손해에 대한 법률상의 배상책임을 입힌 경우,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,20만원,휴대품손해,"학습, 직업",재무,피보험자가 해외체류중에 휴대하는 피보험자의 소유 사용 관리하는 휴대품에 생긴 우연한 사고로 휴대품에 손해를 입은 경우,14
여행자보험(유학생) 상품,let:discover 해외장기체류자보험II,1000만원,해외질병발생의료비,"학습, 직업",건강,피보험자가 해외체류 중에 질병으로 인하여 해외의료기관에서 의료비 발생시 보상,14
여행자보험(유학생) 상품,캐롯 장기체류보험,1억원,상해사망/후유장해,"학습, 직업","관계, 건강",해외장기체류중 상해의 직접결과 사망하거나 후유장해 상태가 된 경우,14
여행자보험(유학생) 상품,캐롯 장기체류보험,1000만원,질병사망/고도후유장해,"학습, 직업","관계, 건강",해외장기체류중 질병으로 사망하거나 80%이상 후유장해 상태가 된 경우,14
여행자보험(유학생) 상품,캐롯 장기체류보험,1000만원,해외상해 해외의료비,"학습, 직업",건강,피보험자가 해외장기체류중 입은 상해로 인하여 해외의료기관에서 치료를 받은 경우,14
여행자보험(유학생) 상품,캐롯 장기체류보험,1000만원,해외질병 해외의료비,"학습, 직업",건강,피보험자가 해외장기체류중 입은 질병으로 인하여 해외의료기관에서 치료를 받은 경우,14
여행자보험(유학생) 상품,캐롯 장기체류보험,입원 1000만원 통원(1회당) 10만원/100회,"해외상해 국내 급여의료비(입원·통원) * 통원 : 외래, 처방","학습, 직업",건강,피보험자가 해외장기체류중 입은 상해로 인하여 국내병원에서 입원 또는 통원하여 치료를 받은 경우 급여 의료비,14
여행자보험(유학생) 상품,캐롯 장기체류보험,입원 1000만원 통원(1회당) 10만원/100회,"해외상해 국내 비급여의료비(입원·통원) * 통원 : 외래, 처방","학습, 직업",건강,피보험자가 해외장기체류중 입은 상해로 인하여 국내의료기관에서 입원 또는 통원하여 치료를 받은 경우 비급여 의료비,14
여행자보험(유학생) 상품,캐롯 장기체류보험,입원 1000만원 통원(1회당) 10만원/100회,"해외질병 국내 급여의료비(입원·통원) * 통원 : 외래, 처방","학습, 직업",건강,피보험자가 해외장기체류중 입은 질병으로 인하여 국내의료기관에 입원 또는 통원하여 치료를 받은 경우 급여 의료비,14
여행자보험(유학생) 상품,캐롯 장기체류보험,입원 1000만원 통원(1회당) 10만원/100회,"해외질병 국내 비급여의료비(입원·통원) * 통원 : 외래, 처방","학습, 직업",건강,피보험자가 해외장기체류중 입은 질병으로 인하여 국내의료기관에 입원 또는 통원하여 치료를 받은 경우 비급여 의료비,14
여행자보험(유학생) 상품,캐롯 장기체류보험,350만원/50만원,3대 비급여(도수치료·체외충격파치료·증식치료),"학습, 직업",건강,도수치료 체외충격파치료 증식치료로 인하여 발생한 비급여 의료비를 담보,14
여행자보험(유학생) 상품,캐롯 장기체류보험,250만원/50회,3대 비급여(주사료),"학습, 직업",건강,비급여 주사료(단 항암제 항생제(항진균제 포함) 희귀약품 제외) 담보,14
여행자보험(유학생) 상품,캐롯 장기체류보험,300만원,3대 비급여(MRI/MRA),"학습, 직업",건강,자공명영상진단(MRI/MRA)로 인하여 발생한 비급여 의료비(조영제 판독료 포함) 담보,14
여행자보험(유학생) 상품,캐롯 장기체류보험,500만원,중대사고구조송환비용,"학습, 직업",재무,계약자 피보험자 또는 피보험자의 법정상속인이 부담하는 비용(수색구조비용 항공운임 등 교통비 숙박비 이송비용 제잡비),14
여행자보험(유학생) 상품,캐롯 장기체류보험,140만원,항공기납치,"학습, 직업",관계,해외장기체류중 피보험자가 승객으로서 탑승한 항공기가 납치됨에 따라 예정목적지에 도착할수 없게 된 경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,3만달러,상해사망,"학습, 직업",관계,해외체류 중 사고로 상해를 입고 그 직접결과로써 사망한 경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,3만달러,상해후유장해,"학습, 직업",건강,해외체류 중 사고로 상해를 입고 그 직접결과로써 후유장해가 발생한경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,1만달러,질병사망 및 80%이상 후유장해,"학습, 직업",건강,해외체류 중 질병으로 인하여 사망하거나 [장해분류표](약관참고)에서 정한 장해지급률이 80% 이상에 해당하는 장해 상태가 되었을 경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,2만달러,해외의료비(상해),"학습, 직업",건강,해외체류 중 입은 상해로 인하여 해외의료기간(병원)에서 의사의 치료를 받은 경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,2만달러,해외의료비(질병),"학습, 직업",건강,해외체류 중 입은 질병으로 인하여 해외의료기간(병원)에서 의사의 치료를 받은 경우,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,1000만원,상해의료비(급여),"학습, 직업",건강,상해로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,1000만원,상해의료비(비급여),"학습, 직업",건강,상해로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,1000만원,질병의료비(급여),"학습, 직업",건강,질병으로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,1000만원,질병의료비(비급여),"학습, 직업",건강,질병으로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,350만원,3대비급여,"학습, 직업",건강,"상해 또는 질병으로 국내의료기관에서 비급여 두수치료, 체외충격파, 증식치료/주사료/자기공명영상진단을 받은 경우 가입금액 한도로 보상",14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,3000만원,배상책임,"학습, 직업",재무,피보험자가 해외여행 도중에 생긴우연한 사고(이하「사고」라 합니다)로 피해자의 신체의 장해 또는 재물의 손해에 대한 법률상의 배상책임을 부담함으로써 입은 아래의 손해를 이 특별약관에 따라 보상,14
여행자보험(유학생) 상품,KB해외장기체류(유학출장)보험_다이렉트,5만달러,중대사고 구조송환비용,"학습, 직업",재무,계약자 피보험자 또는 피보험자의 법정상속인이 부담하는 비용(수색구조비용 항공운임 등 교통비 숙박비 이송비용 제잡비),14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1억원,상해사망후유장해,"학습, 직업","관계, 건강",해외장기체류중 급격하고 우연한 외래의 사고로 상해를 입어 사망 또는 후유장해가 발생한 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,3000만원,질병사망 및 질병80%이상 고도후유장해보장,"학습, 직업","관계, 건강",해외장기체류중 발생한 질병으로 인하여 보험기간 중 사망 또는 80% 이상에 해당하는 후유장해가 남았을 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1000만원,해외의료비(상해),"학습, 직업",건강,해외장기체류 중에 입은 상해로 인하여 해외의료기관에서 의료비가 발생한 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1000만원,해외의료비(질병),"학습, 직업",건강,해외장기체류 중에 질병으로 인하여 해외의료기관에서 의료비가 발생한 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1000만원,국내의료비(상해급여),"학습, 직업",건강,해외장기체류 중에 입은 상해로 인하여 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1000만원,국내의료비(상해비급여),"학습, 직업",건강,해외장기체류 중에 입은 상해로 인하여 의료기관에 입원 또는 통원하여 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대비급여 제외),14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,1000만원,국내의료비(질병급여),"학습, 직업",건강,해외장기체류 중에 질병으로 인하여 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우,14
여행자보험(유학생) 상품,현대해상다이렉트 해외장기체류보험,5000만원,중대사고 구조송환비용,"학습, 직업",재무,"해외장기체류중 급격하고도 우연한 사고에 따라 수색구조비용, 구원자의 항공운임 등 교통비 및 숙박비, 유해이송비용, 제잡비등 피보험자가 지불하는 비용",14
여행자보험(유학생) 상품,글로벌케어,$30000,상해사망 및 후유장해,"학습, 직업",관계,해외체류 중 상해의 직접결과로써 사망 또는후유장해가 발생한 경우,14
여행자보험(유학생) 상품,글로벌케어,$10000,해외체류중 질병사망 및 80%이상 고도후유장해,"학습, 직업",관계,해외체류 중 발생한 질병으로 인하여 사망 또는 약관에서 정한 장해상태가 되었을 경우,14
여행자보험(유학생) 상품,글로벌케어,$10000,해외상해의료비,"학습, 직업",건강,해외체류 중 발생한 상해로 인하여 발생한 치료비 중 해외의료기관에서 치료로 발생한 금액 ,14
여행자보험(유학생) 상품,글로벌케어,1000만원,국내상해급여의료비,"학습, 직업",건강,해외여행 중 발생한 상해로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제로 발생한 금액,14
여행자보험(유학생) 상품,글로벌케어,1000만원,국내상해비급여의료비,"학습, 직업",건강,해외여행 중 발생한 상해로 인하여 국내의료기관에서 비급여에 해당하는 치료나 처방조제로 발생한 금액,14
여행자보험(유학생) 상품,글로벌케어,1000만원,국내질병급여의료비,"학습, 직업",건강,해외여행 중 발생한 질병으로 인하여 국내의료기관에서 요양급여 또는 의료급여에 해당하는 치료나 처방조제로 발생한 금액,14
여행자보험(유학생) 상품,글로벌케어,1000만원,국내질병비급여의료비,"학습, 직업",건강,해외여행 중 발생한 질병으로 인하여 국내의료기관에서 비급여에 해당하는 치료나 처방조제로 발생한 금액 ,14
여행자보험(유학생) 상품,글로벌케어,가입,국내3대비급여의료비,"학습, 직업",건강,"해외여행 중 상해 또는 질병으로 국내의료기관에서 비급여 도수치료, 체외충격파, 증식치료/주사료/자기공명영상진단으로 발생한 금액",14
여행자보험(유학생) 상품,글로벌케어,$30000,의사상자상해,"학습, 직업",건강,해외체류 중 타인의 생명 재산을 구제하는 과정에서 상해를 입어 의사상자로 판정되는 경우,14
여행자보험(유학생) 상품,글로벌케어,$10000,해외질병의료비,"학습, 직업",건강,해외체류 중 발생한 질병으로 인하여 발생한 치료비 중 해외의료기관에서 치료로 발생한 금액 ,14
여행자보험(유학생) 상품,글로벌케어,$30000,해외체류중 중대사고 구조송환비용,"학습, 직업",재무,"탑승한 항공기나 선박이 행방불명 또는 조난된 경우, 산악등반중에 조난된 경우, 상해나 질병으로 사망한 경우 또는 직접원인으로 14일 이상 입원한 경우 피보험자 또는 법정상속인이 부담하는 비용이 발생한 경우",14
여행자보험(유학생) 상품,하나 비바유학보험,5만달러,상해사망/상해후유장해,"학습, 직업",관계,해외체류중 상해의 직접결과로써 사망한 경우 (질병으로 인한 사망은 제외)/ 해외체류중 상해로 장해분류표에서 정한 각 장해지급률에 해당하는 ,14
여행자보험(유학생) 상품,하나 비바유학보험,1만달러,해외체류중 질병사망 및 80%이상 후유장해,"학습, 직업",관계,보험기간 중 질병으로 인하여 사망하거나 장해분류표에서 정한 장해지급률이 80% 이상에 해당하는 장해상태가 되었을 때 보험가입금액 전액 지급,14
여행자보험(유학생) 상품,하나 비바유학보험,5만달러,해외상해 해외실손의료비,"학습, 직업",건강,해외체류중 입은 상해로 인해 해외의료기관에서 의료비가 발생한 경우에 보상 (척추지압술 추나요법 등이나 침술 부항 뜸 치료로 인한 의료비는 치료받는 국가의 법에서 정한 병원 및 의사의 면허를 가진 자에 의하여 치료를 받은 경우에 한하며 하나의 상해에 대하여 US $ 1000한도로 보상),14
