FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,RateType,LendRateAvg,CbCoNm,ContactDepartment,HompUrl,CalTel,JoinWay,CrdtGrad900,CrdtGrad801,CrdtGrad701,CrdtGrad601,CrdtGrad501,CrdtGrad401,CrdtGrad301,CrdtGrad300,BaseRateCrdtGrad900,BaseRateCrdtGrad801,AddRateCrdtGrad900,AddRateCrdtGrad801,AdjustedRateCrdtGrad900,AdjustedRateCrdtGrad801,직업,학습,건강,관계,주거,사회참여,여가,재무
13002,BNK2300,BNK저축은행,일반신용대출,대출금리,13.02%,NICE,"경영기획부, 0517131215",http://www.bnksb.com/,16449988,"영업점,인터넷,스마트폰",10.20%,12.14%,13.21%,13.66%,13.79%,-,-,-,1.82,1.82,8.38,10.32,,,0,0,0,0,0,0,0,100
10345,애큐온00020,애큐온저축은행,일반신용대출,대출금리,13.09%,KCB,"경영전략팀, 0234852522",http://www.acuonsb.co.kr,15886161,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",10.54%,11.17%,12.04%,13.56%,14.57%,-,-,-,2.26,2.26,8.28,8.91,,,0,0,0,0,0,0,0,100
13361,WR0001F,㈜우리카드,일반신용대출,대출금리,13.17%,KCB,"카드금융부, 02-6968-3161 신금융영업부,02-6968-3141",https://pc.wooricard.com/dcpc/main.do,15779000,"인터넷,스마트폰,전화(텔레뱅킹)",9.44%,10.96%,13.33%,15.79%,19.12%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10225,WR0002F,현대카드㈜,장기카드대출,대출금리,13.39%,KCB,"기획조사팀, 02-2090-5028",http://www.hyundaicard.com/cpc/fi/CPCFI0101_01.hc,15776000,"인터넷,스마트폰,전화(텔레뱅킹)",11.54%,12.23%,13.78%,16.10%,19.20%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
12627,WR0002F,㈜케이비국민카드,장기카드대출,대출금리,13.50%,KCB,"자금부, 02-6936-2281",https://customer.kbcard.com/CXCRSZZC0001.cms,15882788,"영업점,인터넷,전화(텔레뱅킹),기타",10.88%,12.27%,13.73%,15.62%,18.44%,16.96%,-,-,,,,,,,0,0,0,0,0,0,0,100
10024,WR0002F,경남은행,장기카드대출,대출금리,13.55%,KCB,"리테일금융부(대출 문의),055-290-8743마케팅추진부,055-290-8317",https://www.knbank.co.kr/ib20/mnu/FPMDPT020000000,16008585,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",9.62%,13.31%,16.01%,17.10%,17.50%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10022,WR0002F,전북은행,장기카드대출,대출금리,13.55%,KCB,"영업추진부 수신지원팀,063-250-7041영업추진부 여신지원팀,063-250-7370",https://www.jbbank.co.kr/EFINANCE_MAIN.act,15884477,"영업점,인터넷,스마트폰",12.57%,11.72%,-,16.87%,16.56%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10259,WR0001F,롯데캐피탈㈜,일반신용대출,대출금리,13.65%,KCB,"경영혁신팀, 02-3456-0246",http://www.lottecap.com,15777700,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",10.69%,12.14%,13.70%,14.54%,14.97%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10227,WR0001F,비씨카드㈜,일반신용대출,대출금리,13.78%,NICE,"영업기획팀, 02-520-4762",https://www.bccard.com/app/card/MainActn.do,15884000,"인터넷,스마트폰",7.28%,10.83%,14.21%,17.41%,19.52%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
11767,JTPLOOOO,JT저축은행,일반신용대출,대출금리,13.82%,NICE,경영관리팀 0317880534,https://www.jt-bank.co.kr/,16888877,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",10.71%,12.54%,13.88%,14.33%,14.94%,-,-,-,2.19,2.19,8.52,10.35,,,0,0,0,0,0,0,0,100
10255,WR0001F,우리금융캐피탈㈜,일반신용대출,대출금리,13.84%,NICE,"개인금융기획팀, 02-2017-5253",https://www.woorifcapital.com/portal/portalMain.do,15448600,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",9.24%,12.04%,14.91%,16.99%,18.23%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13313,11111,신한저축은행,일반신용대출,대출금리,13.90%,KCB,공시담당: 전략기획부 02-2229-4019 예금문의: 1644-7777 대출문의: 1800-3651,http://www.shinhansavings.com,16447777,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",8.72%,10.59%,14.69%,16.05%,17.88%,-,-,-,1.67,1.67,7.05,8.92,,,0,0,0,0,0,0,0,100
12627,WR0001F,㈜케이비국민카드,일반신용대출,대출금리,13.94%,KCB,"자금부, 02-6936-2281",https://customer.kbcard.com/CXCRSZZC0001.cms,15882788,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",9.32%,10.58%,13.88%,15.31%,16.02%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
11735,WR0001F,㈜애큐온캐피탈,일반신용대출,대출금리,13.96%,NICE,"Retail기획팀, 02-3475-5347",http://www.ktcapital.co.kr,15775511,"인터넷,스마트폰,모집인",11.76%,12.48%,14.23%,15.30%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10271,WR0001F,현대캐피탈㈜,일반신용대출,대출금리,14.02%,KCB,"정책지원팀, 02-2090-5028",https://www.hyundaicapital.com/main/main/CPMNMN0101.hc,15882114,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",10.54%,12.18%,14.21%,15.84%,16.74%,17.65%,-,-,,,,,,,0,0,0,0,0,0,0,100
13308,JTCSB760622,JT친애저축은행,일반신용대출,대출금리,14.09%,NICE,경영기획부 0221739225,http://www.jtchinae-bank.co.kr/,15990060,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.90%,13.40%,13.87%,14.95%,16.65%,-,-,-,1.87,1.87,11.03,11.53,,,0,0,0,0,0,0,0,100
10537,SJ0001,한국투자저축은행,일반신용대출,대출금리,14.10%,NICE,"영업추진팀, 031-788-0307",https://sb.koreainvestment.com,15776333,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",11.05%,11.95%,14.22%,16.16%,17.60%,14.60%,-,-,1.25,1.25,9.8,10.7,,,0,0,0,0,0,0,0,100
10226,WR0001F,롯데카드㈜,일반신용대출,대출금리,14.18%,KCB,"기획조사팀, 02-2050-1134",http://www.lottecard.co.kr,15888100,"인터넷,스마트폰,전화(텔레뱅킹),기타",12.39%,13.04%,13.70%,17.59%,19.13%,19.90%,-,-,,,,,,,0,0,0,0,0,0,0,100
10267,WR0001F,제이비우리캐피탈㈜,일반신용대출,대출금리,14.38%,KCB,"경영기획팀, 02-2189-2348",http://www.wooricap.com/,16882300,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",11.01%,11.66%,13.27%,15.31%,16.71%,19.36%,-,-,,,,,,,0,0,0,0,0,0,0,100
10026,WR0002F,중소기업은행,장기카드대출,대출금리,14.38%,KCB,개인고객부(개인수신) 02-729-7466 개인여신부(개인여신) 02-2031-5680,http://www.ibk.co.kr,15662566,"인터넷,스마트폰,전화(텔레뱅킹),기타",11.63%,12.99%,14.25%,15.38%,18.01%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10534,WR0001G,스마트저축은행,일반신용대출,대출금리,14.55%,NICE,"금융소비자보호팀, 070-4364-9605",http://www.smartbank.co.kr/,16613651,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.37%,13.37%,14.82%,16.63%,17.82%,-,-,16.00%,2.01,2.01,10.36,11.36,,,0,0,0,0,0,0,0,100
10471,760101,페퍼저축은행,일반신용대출,대출금리,14.59%,NICE,공시담당자 03180159281 예금담당자 03180159344 대출문의 15990722,http://www.pepperbank.kr/index.do,15990722,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",8.89%,10.37%,15.19%,16.64%,17.83%,19.40%,-,-,1.94,1.94,6.95,8.43,,,0,0,0,0,0,0,0,100
12452,WR0001F,비엔케이캐피탈㈜,일반신용대출,대출금리,14.83%,NICE,"전략기획부,051-665-1067",http://www.bnkcapital.co.kr,15772280,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",14.31%,14.44%,14.87%,15.33%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10370,151014,SBI저축은행,일반신용대출,대출금리,14.96%,NICE,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)",http://www.sbisb.co.kr,15662210,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.16%,13.59%,15.11%,15.88%,16.58%,17.50%,-,-,2.62,2.62,9.54,10.97,,,0,0,0,0,0,0,0,100
10250,WR0001F,케이비캐피탈㈜,일반신용대출,대출금리,14.99%,NICE,"전략기획부,02-3475-3176",http://www.kbcapital.co.kr,15441200,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",11.85%,14.07%,16.08%,16.75%,18.86%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10388,D1,유진저축은행,일반신용대출,대출금리,15.00%,NICE,"전략기획팀, 02-6445-6310",http://www.eugenebank.com,15446700,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",13.69%,14.29%,15.09%,15.81%,17.08%,19.90%,19.18%,-,2.31,2.31,11.38,11.98,,,0,0,0,0,0,0,0,100
13166,01월 01일,하나저축은행,일반신용대출,대출금리,15.38%,NICE,리테일금융부 0222302815,http://www.hanasavings.com,18991122,스마트폰,11.99%,14.36%,15.64%,16.93%,18.28%,-,-,-,2.6,2.6,9.39,11.76,,,0,0,0,0,0,0,0,100
10226,WR0002F,롯데카드㈜,장기카드대출,대출금리,15.43%,KCB,"기획조사팀, 02-2050-1134",http://www.lottecard.co.kr,15888100,"인터넷,스마트폰,전화(텔레뱅킹),기타",13.43%,14.12%,15.46%,17.67%,18.00%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
11923,WR0001F,에이캐피탈㈜,일반신용대출,대출금리,15.48%,"NICE,KCB","영업지원팀,02-6388-0167",http://www.jt-capital.co.kr,15667799,"영업점,인터넷,모집인",13.12%,13.39%,15.45%,17.72%,18.08%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10245,WR0001F,한국캐피탈㈜,일반신용대출,대출금리,15.68%,NICE,"경영기획팀, 02-6206-0143",http://www.hankookcapital.co.kr/,62060077,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",15.08%,15.67%,15.70%,15.82%,15.73%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10390,10390,고려저축은행,일반신용대출,대출금리,15.75%,NICE,"영업기획팀,051-640-9086",http://www.goryosb.co.kr,18779900,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.37%,13.89%,16.23%,16.78%,17.86%,-,16.46%,-,2.33,2.33,10.04,11.56,,,0,0,0,0,0,0,0,100
10430,760909,모아저축은행,일반신용대출,대출금리,15.91%,NICE,"기획실, 0324303322",http://www.moasb.co.kr/,324303300,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",14.44%,15.63%,15.67%,16.41%,17.86%,-,-,-,2.12,2.12,12.32,13.51,,,0,0,0,0,0,0,0,100
10488,760268,우리금융저축은행,일반신용대출,대출금리,15.91%,KCB,예금및대출문의 : 2023-1183 (리스크관리부),http://www.woorisavingsbank.com,15990038,"인터넷,스마트폰,모집인",12.67%,15.21%,15.61%,15.95%,16.22%,15.56%,-,16.35%,2.1,2.1,10.57,13.11,,,0,0,0,0,0,0,0,100
11551,760367,예가람저축은행,일반신용대출,대출금리,16.12%,NICE,"경영기획팀, 공시담당:0269067086, 상품문의:1877-7788",http://www.yegaramsb.co.kr/,18777788,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",15.37%,13.15%,15.72%,17.37%,18.52%,-,-,-,2.3,2.3,13.07,10.85,,,0,0,0,0,0,0,0,100
12840,1,대신저축은행,일반신용대출,대출금리,16.48%,NICE,"업무지원부, 02-519-8240 예적금문의 1644-5600",http://bank.daishin.com,16445600,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.96%,14.56%,16.83%,17.38%,19.11%,-,-,-,1.98,1.98,10.98,12.58,,,0,0,0,0,0,0,0,100
10349,401,디비저축은행,일반신용대출,대출금리,16.51%,NICE,경영관리팀 0237051700,http://www.idbsb.com/,237051700,스마트폰,15.07%,14.87%,16.51%,17.00%,-,-,-,-,2.05,2.05,13.02,12.82,,,0,0,0,0,0,0,0,100
10574,cheil009,동원제일저축은행,일반신용대출,대출금리,16.53%,NICE,"영업부,070-5224-3639",http://dongwonjeilbank.kr/,15448811,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",15.10%,16.34%,16.57%,16.68%,-,-,-,-,2.21,2.21,12.89,14.13,,,0,0,0,0,0,0,0,100
10419,760096,인성저축은행,일반신용대출,대출금리,16.71%,NICE,경영기획부 032-865-3911,http://www.insungsavingsbank.co.kr,328653911,"인터넷,스마트폰,모집인",16.14%,15.74%,17.34%,17.63%,-,-,-,-,2.3,2.3,13.84,13.44,,,0,0,0,0,0,0,0,100
10358,760000,ES저축은행,일반신용대출,대출금리,16.75%,NICE,경영기획 18338889,http://www.essb.co.kr,18338889,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",15.03%,15.73%,16.71%,17.19%,16.79%,-,-,-,2.27,2.27,12.76,13.46,,,0,0,0,0,0,0,0,100
10576,760059,진주저축은행,일반신용대출,대출금리,16.77%,NICE,"영업지원팀, 0518051443",http://www.jinjubank.net,18770030,"영업점,인터넷,모집인",-,16.22%,16.76%,16.99%,16.99%,-,-,-,,1.87,,14.35,,,0,0,0,0,0,0,0,100
10560,C614010,참저축은행,일반신용대출,대출금리,16.77%,NICE,"경영기획팀, 053-720-7339",http://www.charmbank.co.kr/goods/deposit_01View.do,537207300,"인터넷,스마트폰,모집인",-,16.05%,16.81%,16.87%,-,-,-,-,,2.3,,13.75,,,0,0,0,0,0,0,0,100
10346,71371,OSB저축은행,일반신용대출,대출금리,16.81%,NICE,(예/적금) 고객지원팀 1644-0052 (공시) 위험관리팀 02-3479-6609,http://osb.co.kr/ib20/mnu/HOM00001,16440052,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",12.24%,16.18%,16.71%,17.61%,16.89%,19.50%,-,-,1.97,1.97,10.27,14.21,,,0,0,0,0,0,0,0,100
10240,WR0001F,오케이캐피탈 ㈜,일반신용대출,대출금리,17.01%,NICE,"경영관리팀, 02-2149-7348",https://www.okaycapital.co.kr,15775001,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",10.55%,14.68%,18.60%,19.51%,19.95%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13351,761110,OK저축은행,일반신용대출,대출금리,17.12%,NICE,경영기획부 02-3704-9512,http://www.oksavingsbank.com/,18997979,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",15.22%,15.76%,17.32%,18.38%,18.88%,19.53%,19.99%,-,2.14,2.14,13.08,13.62,,,0,0,0,0,0,0,0,100
13350,2275101072,웰컴저축은행,일반신용대출,대출금리,17.36%,NICE,"경영기획팀 0262111082, 예적금문의 16619400, 대출문의 16610001",http://www.welcomebank.co.kr/,16610001,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",11.82%,15.18%,17.02%,18.32%,18.79%,19.75%,19.90%,19.90%,2.12,2.12,9.7,13.06,,,0,0,0,0,0,0,0,100
10492,76-0023,한성저축은행,일반신용대출,대출금리,17.46%,NICE,"기획부, 043-730-0534",http://www.hsbank.co.kr/,15442115,"영업점,인터넷,모집인",14.00%,16.00%,17.95%,18.00%,-,-,-,-,1.96,1.96,12.04,14.04,,,0,0,0,0,0,0,0,100
10468,760101,세람저축은행,일반신용대출,대출금리,17.64%,NICE,"기획팀, 031-822-1623",http://www.serambank.co.kr,15886781,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",16.90%,16.42%,15.92%,16.27%,16.65%,-,17.89%,-,1.94,1.94,14.96,14.48,,,0,0,0,0,0,0,0,100
10526,760000,대한저축은행,일반신용대출,대출금리,17.68%,NICE,"영업1본부, 062-527-5701",http://www.daehanbank.co.kr,625275701,"영업점,인터넷,모집인",-,16.62%,17.18%,17.35%,17.03%,-,17.89%,19.90%,,2.3,,14.32,,,0,0,0,0,0,0,0,100
