BankName,CbName,ProductName,Credit1To3AveRate,Credit1To3LowRate,Credit1To3HighRate,Credit4AveRate,Credit4LowRate,Credit4HighRate,Credit5AveRate,Credit5LowRate,Credit5HighRate,Credit6AveRate,Credit6LowRate,Credit6HighRate,Credit7AveRate,Credit7LowRate,Credit7HighRate,Credit8To10AveRate,Credit8To10LowRate,Credit8To10HighRate,Credit7To10AveRate,Credit7To10LowRate,Credit7To10HighRate,CrdtScr300BlwHighRate,CrdtScr300BlwAveRate,CrdtScr300BlwLowRate,JoinRequirement,LoanLimitAve,Owner,LoanBudea,JoinLocation,LoanLimit,SubmitMonth,SubmitQuarter,직업,학습,건강,관계,주거,사회참여,여가,재무,연소득(단위:만),"제한(1:제한,0:제한없음)"
KB,"NICE,KCB",KB사잇돌2,9.5,8.7,13.64,10.35,8.7,15.14,11.46,8.7,18.52,12.66,8.7,18.89,13.37,8.7,18.52,14.01,14.01,14.01,,,,,,,"- 직장인 : 소득증빙이 가능하며, 재직기간 5개월이상, 연소득 1,200만원 이상
- 자영업자: 소득증빙이 가능하며, 현 사업 영위기간 4개월이상, 연소득 6백만원 이상",8백만원,"영업추진부, 0221468227",없음,인터넷+스마트폰+모집인+기타,"최대 3,000만원",,,0,0,0,0,0,0,0,100,1200,0
KB,"NICE,KCB",kiwi파트너대출,8.26,5.9,12.08,9.6,5.9,17.25,10.19,5.9,17.25,11.46,5.9,17.25,13.18,9.48,17.25,15.27,12.97,17.25,,,,,,,"- 재직기간 7개월이상, 연소득 1,200만원 이상 직장인
- 소득증빙이 가능한 만23세 이상 내국인 중 우량기관의 소개를 통해 신청한 고객
- KCB 개인신용평점 475점 이상인 고객",17백만원,"영업추진부, 0221468227", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),인터넷+스마트폰+기타,최저 300만원 ~ 최대 1억원,,,0,0,0,0,0,0,0,100,1200,0
KB,"NICE,KCB",kiwi비상금대출,12.81,9.79,15.9,13.31,9.55,17.72,13.53,8.9,19.4,14.64,9.79,19.4,15.28,12.1,18.67,16.37,14.21,17.9,,,,,,,"- 직업/소득에 관계없이 당사 개인신용평가 심사기준 충족고객
- KCB 개인신용평점 475점 이상인 고객",3백만원,"영업추진부, 0221468227",없음,인터넷+스마트폰+모집인+기타,최대 300만원,,,0,0,0,0,0,0,0,100,,0
KB,"NICE,KCB",kiwi전환대출,,,,,,,13.77,12.56,14.64,13.85,10.23,17.22,15.63,13.91,17.41,,,,,,,,,,"- 재직기간 7개월이상, 연소득 1,200만원 이상 직장인
- 소득증빙이 가능한 만23세 이상 내국인
- 타기관의 채무 대환을 목적으로 하는 고객
- KCB 개인신용평점 475점 이상인 고객",17백만원,"영업추진부, 0221468227",없음,인터넷+스마트폰+모집인+기타,"최저 300만원 ~ 최대 5,000만원",,,0,0,0,0,0,0,0,100,1200,0
KB,"NICE,KCB",kiwi중금리대출,7.93,5.9,18.66,9.6,5.9,18.99,11.35,5.9,19.4,13.22,5.9,19.4,15.04,6.23,19.4,15.55,12.35,19.29,,,,,,,"- KB저축은행 중금리 신용대출 대표상품
- 재직기간 3개월이상, 연소득 1,200만원 이상 직장인, 자영업자
- 소득증빙이 가능한 만20세 이상 내국인
- KCB 개인신용평점 475점 이상인 고객",17백만원,"영업추진부, 0221468227", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),인터넷+스마트폰+모집인+기타,최저 300만원 ~ 최대 1억원,,,0,0,0,0,0,0,0,100,1200,0
OK,NICE,OK한도우대론,15.06,5.9,19.1,14.89,5.9,19.1,14.67,5.9,19.1,14.66,5.9,17.8,15.58,12.9,16.6,,,,,,,,,,"만20세 이상/근무처 재직,사업자 운영 확인 및 소득증빙서류 제출이 가능한 직장인,자영업자,프리랜서/대부업 대출 미보유자 등",31백만원,"경영기획부
02-3704-9512","인지세-7만원(대출금액 5,000만 초과~1억 이하시)/고객 부담50%(35,000원)",인터넷+스마트폰+모집인+전화(텔레뱅킹)+기타,최대1억원,,,0,0,0,0,0,0,0,100,,0
OK,NICE,사잇돌,14.46,9.9,18.8,14.71,9.9,18.8,15.78,9.9,19.9,16,9.9,18.8,,,,,,,,,,,,,"만20세 이상/근무처 재직,사업자 운영 확인 및 소득증빙서류 제출이 가능한 직장인,자영업자,프리랜서 등",10백만원,"경영기획부
02-3704-9512",없음,영업점+인터넷+스마트폰+모집인+전화(텔레뱅킹)+기타,최대3천만원,,,0,0,0,0,0,0,0,100,,0
OK,NICE,OK한도우대론S,13.89,9.9,16.7,14.59,9.9,19.4,15.44,8.9,19.4,16.01,9.9,18.8,16.2,15.8,16.7,,,,,,,,,,"만20세 이상/근무처 재직,사업자 운영 확인 및 소득증빙서류 제출이 가능한 직장인,자영업자,프리랜서/대부업 대출 미보유자 등",15백만원,"경영기획부
02-3704-9512",없음,인터넷+스마트폰+모집인+전화(텔레뱅킹)+기타,최대4천만원,,,0,0,0,0,0,0,0,100,,0
OSB,NICE,오리치통합론,,,,15.8,14.4,17.8,16.19,14.4,17.8,16.59,14.9,17.8,,,,,,,,,,,,,만60세이하 급여소득자로서 당사 자체 신용평가시스템 심사기준 충족고객,50백만원,"(예/적금) 고객지원팀 1644-0052
(공시) 위험관리팀 02-3479-6609",인지세 : 해당세액 x 50%(대출금액 5천만원 이하시 없음),인터넷+스마트폰+모집인,최대 100백만원 이내,,,0,0,0,0,0,0,0,100,,0
OSB,NICE,오리치론1,13.34,9.9,15.9,14.19,8.5,15.9,14.16,8.5,15.9,14.49,8.5,15.9,14.39,9.9,15.9,,,,,,,,,,만60세이하 급여소득자로서 당사 자체 신용평가시스템 심사기준 충족고객,21백만원,"(예/적금) 고객지원팀 1644-0052
(공시) 위험관리팀 02-3479-6609",인지세 : 해당세액 x 50%(대출금액 5천만원 이하시 없음),인터넷+스마트폰+모집인,최대 100백만원 이내,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,마이너스통장(사이다),9.62,6.9,10.8,10.02,9.3,11.8,10.64,9.4,11.8,11.07,9.9,11.8,,,,,,,,,,,,,#NAME?,14백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",스마트폰,최대 1억원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리(추가),10.5,10.5,10.5,10.45,7.9,12.5,10.62,7.3,12.5,10.81,7.9,12.5,10.5,10.5,10.5,,,,,,,,,,#NAME?,30백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",인터넷+스마트폰+전화(텔레뱅킹),최대 1억5천만원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리,11.25,5.9,14.3,11.72,9.5,14.3,12.34,9.5,14.3,12.81,10.9,14.3,12.85,12.3,14.3,,,,,,,,,,#NAME?,29백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",인터넷+스마트폰+모집인+전화(텔레뱅킹),최대 1억5천만원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리(대환),13.75,12.2,14.3,13.17,9.9,15.9,13.85,9.9,15.9,14.17,9.9,15.9,13.9,13,15.9,,,,,,,,,,#NAME?,28백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)",없음,인터넷+스마트폰+모집인+전화(텔레뱅킹),최대 5천만원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,신용대출(사이다),10.03,9.6,10.8,10.15,9.6,10.8,10.69,9.6,11.8,11.18,9.9,11.8,,,,,,,,,,,,,- 중도상환 부담없이 APP 24시간 이용 가능한 신용대출,18백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",스마트폰,최대 1억원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,비상금대출(사이다),13.27,6.9,16.5,14.49,12,16.5,14.95,13.7,16.5,15.27,13.7,16.5,,,,,,,,,,,,,#NAME?,5백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)",없음,스마트폰,최대 5백만원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,중금리신용대출(사이다),12.5,11.6,15.4,13.02,11.6,15.4,13.78,11.4,15.4,13.98,11.9,15.4,14.58,14.4,15.4,,,,,,,,,,- 서류제출 없이 편리하게 APP으로 24시간 이용 가능한 직장인을 위한 신용대출,17백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",스마트폰,최대 1억원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리(라이트),12.25,5.9,15.6,13.01,11.5,15.6,13.33,11.5,15.6,13.63,11.5,15.6,13.71,11.6,15.6,,,,,,,,,,#NAME?,23백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",인터넷+스마트폰+모집인+전화(텔레뱅킹),최대 1억원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리(라이트추가),15.3,15.3,15.3,12.91,6.9,16.1,13.51,6.9,16.1,13.95,7.9,16.1,14.29,10.8,16.1,,,,,,,,,,#NAME?,16백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",인터넷+스마트폰+전화(텔레뱅킹),최대 1억원까지,,,0,0,0,0,0,0,0,100,,0
SBI,NICE,SBI중금리(W),10.32,5,12.9,11.5,9,13.8,11.9,10,13.8,12.28,10.5,13.8,,,,,,,,,,,,,#NAME?,26백만원,"리테일마케팅팀, 02-3416-4269 (소비자 문의는 고객센터 1566-2210, 1644-5277(사이다 상품 전용)로 부탁드리겠습니다)"," - 인지세 : 
고객, 금융회사 50%씩 부담
(5,000만원 이하는 해당사항없음)",인터넷+스마트폰+모집인+전화(텔레뱅킹),최대 1억5천만원까지,,,0,0,0,0,0,0,0,100,,1
고려,NICE,생각대론E,14.21,13.4,17.45,14.4,11.44,17.77,16.53,12.28,17.77,16.88,12.28,17.77,17.65,17.45,17.77,,,,,,,,,," -만20세 이상 직장인, 프리랜서를 대상으로 무보증 최대 1억원까지지 대출가능",18백만원,"영업기획팀,051-640-9086", -인지세:5천만원 초과시 7만원 (고객 50% 부담),인터넷+스마트폰+모집인+전화(텔레뱅킹), -최대 1억원,,,0,0,0,0,0,0,0,100,,0
고려,NICE,대환론Ⅱ,,,,15.97,12.7,16.82,16.54,16.54,16.54,16.54,16.54,16.54,,,,,,,,,,,,," -저축은행, 캐피탈업권 우량고객을 대상으로 최대 4,000만원 까지 대출가능",26백만원,"영업기획팀,051-640-9086", -없음,인터넷+스마트폰+모집인+전화(텔레뱅킹)," -최대 4,000만원
(주부 최대 500만원)",,,0,0,0,0,0,0,0,100,,0
고려,NICE,더좋은론,,,,14.48,13.36,17.66,15.05,13.36,19.28,15.39,13.87,19.28,15.61,14.01,17.66,,,,,,,,,," -당행 보증부대출 이용고객을 대상으로 최대 4,000만원 까지 대출가능",17백만원,"영업기획팀,051-640-9086", -없음,인터넷+스마트폰+모집인+전화(텔레뱅킹)," -최대 4,000만원
(주부 최대 500만원)",,,0,0,0,0,0,0,0,100,,0
고려,NICE,더좋은니즈론(중),,,,14.41,11.01,17.66,15.14,11.01,17.66,15.48,13.87,17.66,15.85,15.4,17.66,,,,,,,,,," -당행 보증부대출 이용고객을 대상으로 최대 4,000만원 까지 대출가능",21백만원,"영업기획팀,051-640-9086", -없음,인터넷+스마트폰+모집인+전화(텔레뱅킹)," -최대 4,000만원
(주부 최대 500만원)",,,0,0,0,0,0,0,0,100,,0
대신,NICE,대신신용대출Ⅰ,13.67,8.91,17.04,14.22,8.91,19.49,15.88,8.91,19.49,16.45,13.74,19.49,17.04,17.04,17.04,,,,,,,,,,"소득증빙이 가능한 직장인, 프리랜서",27백만원,"업무지원부, 02-519-8240 예적금문의 1644-5600 ","*인지세 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별로 차등 부과 (각 50%씩 고객과 저축은행이 부담)",인터넷+스마트폰+모집인+전화(텔레뱅킹),대출금액 100만~ 1억원 이내,,,0,0,0,0,0,0,0,100,,0
동원제일,NICE CB등급 기준,"동원세이프론
(중금리)",,,,16.12,14.18,18.8,16.39,14.18,18.8,16.63,14.18,18.8,14.18,14.18,14.18,,,,,,,,,,"근로소득자: 재직기간 3개월 이상, 연소득 제한없음
프리랜서, 개인사업자: 재직기간 5개월이상, 연소득 제한없음",12백만원,"영업부,070-5224-3639",없음,인터넷+스마트폰+전화(텔레뱅킹),"최저 1,000,000원~최고 30,000,000원",,,0,0,0,0,0,0,0,100,,0
머스트삼일,NICE,사잇돌2,,,,,,,,,,13.9,13.9,13.9,,,,,,,,,,,,,"-소득증빙 가능한 직장인, 개인사업자, 연금소득 1회이상 수령한 자를 대상으로 하는 상품
-자격요건 : 5개월 이상 재직한 근로소득자, 6개월 이상 운영한 개인사업자, 연금 1회이상 수령자",5백만원,"경영지원팀, 054-275-4060",없음,영업점+인터넷+스마트폰+모집인+전화(텔레뱅킹),최고 2천만원,,,0,0,0,0,0,0,0,100,,0
모아,NICE,믿을론,13.57,5.9,16,14.79,11.6,18.6,15.41,11.6,19,16.09,11.6,18.6,17.13,14.8,18.6,,,,,,,,,,대출 신청일 현재 만 19세 이상이며 소득이 확인되는 자,13백만원,"기획실, 0324303322",없음,인터넷+스마트폰+모집인+전화(텔레뱅킹),"300만원이상 5,000만원 이하",,,0,0,0,0,0,0,0,100,,0
삼호,NICE,삼호스피드론Ⅱ,,,,8.77,8,9.78,9.71,8,11.75,11.25,11.25,11.25,,,,,,,,,,,,,"신용등급 1~8등급 개인, 개인사업자, 법인사업자",14백만원,"경영관리부,063-900-2012",없음,영업점,"최대 2,000만원(법인의 경우 최대 3,000만원)",,,0,0,0,0,0,0,0,100,,0
상상인,KCB,좋은상상_직장인중금리,8.63,5.99,12.99,9.42,6.99,12.99,11.35,7.79,16.99,14.12,7.79,17.99,16.05,15.99,16.9,,,,,,,,,,"- 만 19세 이상(최근 6개월이상 소득, 재직확인 가능자)",261백만원,"경영기획팀, 0316988142", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),인터넷+스마트폰+모집인+전화(텔레뱅킹),1백만원~10천만원,,,0,0,0,0,0,0,0,100,,0
스마트,NICE,똑똑대출,11.87,9.95,16,12.97,8.68,17.48,13.88,8.68,17.48,14.81,8.68,17.48,,,,,,,,,,,,,"내국인 거주자, 성인, 직장인",1백만원,"금융소비자보호팀, 070-4364-9605",없음,모집인,최대 300만원,,,0,0,0,0,0,0,0,100,,0
신한,KCB신용평가,사잇돌2,10.11,9,16,10.61,9,16,12.25,9,16.5,13.56,9,17,14.37,9,17.5,16.03,14.5,17,,,,,,,"- 급여소득자 : 현직장 5개월 이상 & 연소득 12백만원 이상 
- 사업소득자 : 4개월 이상 사업영위 & 연소득 6백만원 이상
- 연금소득자 : 1개월 이상 연금 수 & 연소득 6백만원 이상",7백만원,"공시담당: 전략기획부 02-2229-4019
예금문의: 1644-7777
대출문의: 1800-3651",없음,영업점+인터넷+스마트폰+모집인+전화(텔레뱅킹),"100만원 ~ 3,000만원
(단, 보증서 보증금액 범위 내)",,,0,0,0,0,0,0,0,100,1200,0
신한,KCB신용평가,허그론,7,5.2,16.9,8.71,5.2,17.4,10.66,5.2,17.9,13.54,5.2,17.9,15.93,6.8,17.9,16.77,12.2,17.9,,,,,,,"- 제휴기관 거래고객으로 NICE 신용평점 590점 이상인 고객 중
- 현 직장 근속기간 만 3개월 이상 & 연소득 1,200만원 이상인 급여소득자 ",17백만원,"공시담당: 전략기획부 02-2229-4019
예금문의: 1644-7777
대출문의: 1800-3651",없음,영업점+인터넷+스마트폰+모집인+전화(텔레뱅킹),"100만원 ~ 5,000만원",,,0,0,0,0,0,0,0,100,1200,0
신한,KCB신용평가,참신한중금리,6.62,5.8,14.9,9.54,5.8,17.9,11.34,5.8,18.9,13.4,5.8,18.4,15.61,7.8,18.9,16.77,10.2,17.9,,,,,,,"- NICE 신용평점 590점 이상인 고객 중
- 현 직장 근속기간 만 3개월 이상 & 연소득 2,600만원 이상인 급여소득자 ",12백만원,"공시담당: 전략기획부 02-2229-4019
예금문의: 1644-7777
대출문의: 1800-3651",없음,영업점+인터넷+스마트폰+모집인+전화(텔레뱅킹),"100만원 ~5,000만원 ",,,0,0,0,0,0,0,0,100,2600,0
애큐온,KCB,애큐온중금리A,10.6,7.9,16.9,10.27,7.9,16.5,10.88,7.9,17.4,12.03,7.9,17.4,13.25,8.9,17.4,,,,,,,,,,"핀크,핀다 연계고객대상 365일 비대면 중금리대출상품",27백만원,"경영전략팀, 0234852522", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)  ,스마트폰,최고 1억원,,,0,0,0,0,0,0,0,100,,0
애큐온,KCB,애큐온 프라임론,11.91,5.8,15.9,13.03,10.9,16.4,13.48,10.9,18.5,13.95,10.9,18.5,14.69,10.9,18.9,15.08,13.4,16.4,,,,,,,"재직기간 3개월 이상, 소득증빙이 가능한 직장인을 대상으로 방문없이 인터넷, 전화로 빠르게 대출 가능한 중금리신용대출상품",25백만원,"경영전략팀, 0234852522", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)  ,인터넷+스마트폰+모집인+전화(텔레뱅킹),최고 1억원,,,0,0,0,0,0,0,0,100,,0
애큐온,KCB,애큐온 중금리환승론,,,,12.63,10.9,14.5,13.38,10.9,16.4,13.71,10.9,16.4,14.23,10.9,16.4,,,,,,,,,,재직기간 3개월이상인 소득증빙 가능한 직장인 중금리 채무환승론 상품,41백만원,"경영전략팀, 0234852522", - 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)  ,인터넷+스마트폰+모집인+전화(텔레뱅킹),최고 1억원,,,0,0,0,0,0,0,0,100,,0
