,상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,직전분기_납입원금,직전분기_적립금,직전분기_수익률,전년도_납입원금,전년도_적립금,전년도_수익률,장기수익률(연평균)_3년,장기 수익률(연평균)_5년,장기 수익률(연평균)_7년,장기 수익률(연평균)_10년,장기 수수료율(연평균)_3년,장기 수수료율(연평균)_5년,장기 수수료율(연평균)_7년,장기 수수료율(연평균)_10년,위험,직업,학습,건강,관계,주거,사회참여,여가,재무
13,미래에셋전략배분TDF2030혼합자산자투자신탁 종류C-P2,미래에셋자산운용,재간접,2017/03/24,판매,가능,"154,455","212,117",46.29,"74,360","96,326",28.52,21.62,,,,0.92,,,,보통위험,0,0,0,0,100,0,0,0
14,미래에셋라이프사이클2030연금증권전환형자투자신탁 1(주식)종류C,미래에셋자산운용,재간접,2005/10/26,판매,가능,"195,441","202,342",25.45,"185,374","219,598",25.18,4.09,9.43,7.37,3.69,1.40,-1.18,-0.46,0.19,보통위험,0,0,0,0,100,0,0,0
15,미래에셋전략배분TDF솔루션혼합자산자투자신탁종류C-P2,미래에셋자산운용,재간접,2018/07/02,판매,가능,"166,794","195,479",16.31,"126,745","142,668",9.89,8.37,,,,0.65,,,,보통위험,0,0,0,0,100,0,0,0
16,피델리티글로벌테크놀로지증권자투자신탁(주식-재간접형)종류PRS-e,피델리티자산운용,재간접,2015/07/15,판매,가능,"141,082","192,672",43.06,"77,952","108,151",33.63,19.00,19.49,,,0.52,0.48,,,보통위험,0,0,0,0,100,0,0,0
17,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2,미래에셋자산운용,재간접,2017/03/31,판매,가능,"166,939","192,659",18.46,"95,799","107,181",8.39,9.06,,,,0.66,,,,보통위험,0,0,0,0,100,0,0,0
18,미래에셋글로벌다이나믹연금증권전환형자투자신탁 1(채권)종류C,미래에셋자산운용,재간접,2010/07/26,판매,가능,"192,189","190,991",1.29,"220,762","227,840",2.92,3.30,3.93,29.90,23.54,0.76,0.76,1.02,0.93,보통위험,0,0,0,0,100,0,0,0
19,미래에셋퇴직연금베스트펀드컬렉션증권자투자신탁 1(채권혼합-재간접형)종류C,미래에셋자산운용,재간접,2013/12/24,판매,가능,"187,220","185,469",12.23,"162,405","183,418",14.50,4.84,6.20,5.72,,0.57,0.57,0.58,,보통위험,0,0,0,0,100,0,0,0
20,미래에셋퇴직플랜40증권자투자신탁 1(채권혼합)종류C,미래에셋자산운용,재간접,2006/01/02,판매,가능,"173,086","181,923",7.84,"164,734","188,970",15.49,4.33,3.76,3.80,28.07,0.75,0.76,0.77,4.13,보통위험,0,0,0,0,100,0,0,0
21,미래에셋전략배분TDF2030혼합자산자투자신탁 종류C-P2e,미래에셋자산운용,재간접,2017/08/18,판매,가능,"139,843","180,740",51.47,"40,529","49,429",28.68,14.98,,,,0.65,,,,보통위험,0,0,0,0,100,0,0,0
22,에셋플러스글로벌리치투게더연금증권자투자신탁 1[주식] 종류C,에셋플러스자산운용,주식형,2013/05/21,판매,가능,"103,519","179,778",36.72,"91,579","150,347",35.86,16.52,15.12,9.39,,2.11,1.93,1.82,,높은위험,0,0,0,0,100,0,0,0
23,피델리티글로벌테크놀로지증권자투자신탁(주식-재간접형)종류PRS,피델리티자산운용,재간접,2016/04/27,판매,가능,"104,927","173,513",48.04,"84,403","129,239",35.76,20.35,,,,0.90,,,,보통위험,0,0,0,0,100,0,0,0
24,신한해피라이프연금증권전환형자투자신탁 1[주식](종류C1),신한자산운용,주식형,2008/06/25,판매,가능,"94,903","164,147",45.71,"120,913","169,184",40.22,-1.48,3.53,0.21,-0.74,1.54,1.58,1.59,1.71,높은위험,0,0,0,0,100,0,0,0
25,한화연금증권전환형투자신탁(주식)종류C,한화자산운용,주식형,2001/02/01,판매,가능,"87,138","162,178",37.58,"118,497","182,031",38.63,2.98,4.20,3.59,-0.83,1.67,1.66,1.62,1.63,높은위험,0,0,0,0,100,0,0,0
26,하나UBS인Best연금증권자투자신탁 1 [주식혼합],하나유비에스자산운용,혼합주식형,2001/02/05,판매,가능,"105,768","161,824",19.84,"116,446","167,407",25.13,3.24,4.27,3.11,1.81,1.62,1.60,1.58,1.57,높은위험,0,0,0,0,100,0,0,0
27,미래에셋퇴직연금배당프리미엄증권자투자신탁 1(주식혼합)종류C,미래에셋자산운용,재간접,2014/11/11,판매,가능,"139,848","161,040",21.21,"155,042","164,967",11.75,2.07,8.72,8.73,,0.79,0.80,0.67,,보통위험,0,0,0,0,100,0,0,0
28,삼성클래식인덱스연금증권전환형투자신탁 1[주식]_C,삼성자산운용,주식형,2006/01/10,판매,가능,"85,353","159,805",36.31,"99,742","169,319",35.98,6.17,10.79,6.78,1.74,1.60,1.55,1.49,1.45,높은위험,0,0,0,0,100,0,0,0
29,미래에셋전략배분TDF2035혼합자산자투자신탁종류C-P2e,미래에셋자산운용,재간접,2017/09/20,판매,가능,"117,295","159,343",64.22,"33,372","41,914",35.38,16.87,,,,0.70,,,,보통위험,0,0,0,0,100,0,0,0
30,미래에셋전략배분TDF2040혼합자산자투자신탁 종류C-P2e,미래에셋자산운용,재간접,2017/08/17,판매,가능,"103,660","149,197",78.36,"28,288","37,218",44.71,20.90,,,,0.81,,,,보통위험,0,0,0,0,100,0,0,0
31,미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P2,미래에셋자산운용,재간접,2017/03/24,판매,가능,"92,476","145,085",66.36,"48,429","69,208",40.49,26.07,,,,1.38,,,,보통위험,0,0,0,0,100,0,0,0
32,미래에셋전략배분TDF솔루션혼합자산자투자신탁종류C-P,미래에셋자산운용,재간접,2018/07/02,판매,가능,"122,590","143,352",13.63,"108,880","122,195",9.18,7.80,,,,0.68,,,,보통위험,0,0,0,0,100,0,0,0
33,한국투자골드플랜네비게이터연금증권전환형투자신탁 1(주식)(C),한국투자신탁운용,주식형,2008/03/12,판매,가능,"72,076","141,224",23.21,"89,472","150,751",37.24,-0.60,3.57,4.03,2.02,1.90,1.91,1.86,1.94,높은위험,0,0,0,0,100,0,0,0
34,미래에셋전략배분TDF2035혼합자산자투자신탁 종류C-P2,미래에셋자산운용,재간접,2017/03/24,판매,가능,"94,620","140,545",62.92,"43,264","59,315",35.32,22.22,,,,1.09,,,,보통위험,0,0,0,0,100,0,0,0
35,한국투자글로벌전기차&amp;배터리증권투자신탁(주식)(C-Pe),한국투자신탁운용,주식형,2017/11/06,판매,가능,"121,519","139,835",32.96,"44,659","51,852",39.16,-0.96,,,,0.99,,,,높은위험,0,0,0,0,100,0,0,0
36,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS,피델리티자산운용,재간접,2013/09/10,판매,가능,"97,374","136,707",18.03,"103,489","132,627",0.20,6.71,8.69,11.02,,0.90,0.86,0.82,,보통위험,0,0,0,0,100,0,0,0
37,미래에셋배당프리미엄연금저축증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,재간접,2013/08/19,판매,가능,"136,618","136,581",20.39,"136,101","146,983",11.48,1.42,5.45,8.90,,1.31,1.34,1.34,,보통위험,0,0,0,0,100,0,0,0
38,KB스타개인용MMF P-101(국공채)C-P,케이비자산운용,단기금융,2013/11/21,판매,가능,"127,508","128,971",0.33,"110,041","111,172",-0.57,0.74,0.82,1.13,,0.36,0.41,0.44,,매우낮은위험,0,0,0,0,100,0,0,0
39,AB미국그로스증권투자신탁(주식-재간접형)종류형Ce-P,얼라이언스번스틴자산운용,재간접,2017/08/02,판매,가능,"97,459","126,998",28.25,"65,445","82,624",26.19,14.67,,,,0.58,,,,보통위험,0,0,0,0,100,0,0,0
40,AB미국그로스증권투자신탁(주식-재간접형)종류형C-P,얼라이언스번스틴자산운용,재간접,2013/04/10,판매,가능,"72,542","124,717",34.23,"65,062","101,761",32.38,19.28,19.12,20.85,,1.34,1.25,1.18,,보통위험,0,0,0,0,100,0,0,0
41,미래에셋국공채전용MMF A1(국공채)종류C-P,미래에셋자산운용,재간접,2015/10/12,판매,가능,"119,955","120,284",0.44,"148,851","149,570",0.95,1.73,1.67,,,0.16,0.16,,,보통위험,0,0,0,0,100,0,0,0
42,KB연금중국본토A주증권자투자신탁(주식)C 클래스,케이비자산운용,주식형,2014/10/14,판매,가능,"65,697","117,383",23.61,"68,654","120,259",57.85,11.60,8.52,,,2.05,1.95,,,높은위험,0,0,0,0,100,0,0,0
43,미래에셋자산배분TDF2025증권자투자신탁(채권혼합- 재간접형)종류C-P2,미래에셋자산운용,재간접,2017/03/13,판매,가능,"95,000","115,453",17.82,"71,570","83,991",12.53,7.23,,,,0.76,,,,보통위험,0,0,0,0,100,0,0,0
44,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2e,미래에셋자산운용,재간접,2017/09/29,판매,가능,"102,156","115,189",26.84,"21,642","23,898",9.49,8.80,,,,0.47,,,,보통위험,0,0,0,0,100,0,0,0
45,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁 1(채권)종류C-P2e,미래에셋자산운용,재간접,2017/08/03,판매,가능,"113,193","112,715",1.78,"99,283","102,746",3.58,4.53,,,,0.47,,,,보통위험,0,0,0,0,100,0,0,0
46,신영연금배당증권전환형자투자신탁(주식),신영자산운용,주식형,2007/12/18,판매,가능,"70,776","112,183",31.06,"89,311","123,223",17.99,-0.83,3.58,4.73,6.67,1.55,1.63,1.62,1.75,높은위험,0,0,0,0,100,0,0,0
47,메리츠샐러리맨증권자투자신탁[주식-재간접형]종류C-Pe,메리츠자산운용,재간접,2018/03/28,판매,가능,"95,730","110,788",23.19,"47,895","54,356",16.12,,,,,,,,,보통위험,0,0,0,0,100,0,0,0
48,미래에셋국공채전용MMF A1(국공채)종류C-Pe,미래에셋자산운용,재간접,2018/11/09,판매,가능,"108,933","109,264",0.69,"78,164","78,577",1.65,1.47,,,,0.07,,,,보통위험,0,0,0,0,100,0,0,0
49,미래에셋자산배분TDF2025증권자투자신탁(채권혼합- 재간접형)종류C-P,미래에셋자산운용,재간접,2017/03/10,판매,가능,"88,855","107,971",12.32,"84,093","98,561",10.12,7.60,,,,0.82,,,,보통위험,0,0,0,0,100,0,0,0
50,미래에셋아시아그레이트컨슈머증권자투자신탁 1(주식-재간접형)종류C-p,미래에셋자산운용,재간접,2013/10/21,판매,가능,"62,891","107,642",2.62,"63,792","114,165",35.96,12.15,10.68,13.46,,1.77,1.60,1.51,,보통위험,0,0,0,0,100,0,0,0
51,미래에셋퇴직플랜글로벌그레이트컨슈머40증권자투자신탁 1[채권혼합]종류C,미래에셋자산운용,재간접,2011/11/16,판매,가능,"101,867","104,326",4.51,"95,767","97,636",12.26,7.12,5.47,4.81,7.10,1.26,1.25,1.25,1.12,보통위험,0,0,0,0,100,0,0,0
52,미래에셋평생소득TIF혼합자산자투자신탁종류C-P,미래에셋자산운용,재간접,2017/06/23,판매,가능,"91,498","103,902",13.04,"72,752","80,163",4.94,5.55,,,,0.71,,,,보통위험,0,0,0,0,100,0,0,0
53,신영마라톤증권자투자신탁(주식)C-P형,신영자산운용,주식형,2013/04/08,판매,가능,"73,285","103,680",29.44,"91,675","117,568",22.83,0.50,5.07,4.65,,1.48,1.51,1.48,,높은위험,0,0,0,0,100,0,0,0
54,미래에셋퇴직연금솔로몬40증권자투자신탁 1(채권혼합)종류C,미래에셋자산운용,재간접,2006/01/04,판매,가능,"98,350","103,404",7.61,"98,762","113,169",15.27,4.20,3.64,3.73,-0.11,0.80,0.81,0.82,-0.64,보통위험,0,0,0,0,100,0,0,0
55,신한해피라이프연금증권전환형자투자신탁 1[주식혼합](종류C1),신한자산운용,혼합주식형,2008/06/25,판매,가능,"67,666","99,532",25.81,"69,898","95,116",28.13,4.75,5.22,3.26,2.54,1.49,1.50,1.50,1.53,높은위험,0,0,0,0,100,0,0,0
56,미래에셋전략배분TDF2030혼합자산자투자신탁 종류C-P,미래에셋자산운용,재간접,2017/03/21,판매,가능,"71,133","97,908",25.05,"59,847","77,558",17.79,15.81,,,,1.02,,,,보통위험,0,0,0,0,100,0,0,0
57,KTB중국1등주증권자투자신탁[주식]종류C-P,케이티비자산운용,주식형,2014/01/06,판매,가능,"47,453","95,791",12.10,"51,246","103,248",55.73,13.21,16.00,11.38,,2.26,2.04,1.92,,높은위험,0,0,0,0,100,0,0,0
58,신영연금60 증권 전환형 투자신탁(주식혼합),신영자산운용,혼합주식형,2001/02/14,판매,가능,"65,574","94,723",22.59,"73,965","98,461",15.45,1.01,3.40,2.03,2.18,1.52,1.53,1.52,1.50,높은위험,0,0,0,0,100,0,0,0
59,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁 1(주식)종류C,미래에셋자산운용,재간접,2014/01/09,판매,가능,"90,945","93,675",16.01,"56,580","72,761",24.79,12.12,11.45,10.57,,1.56,1.61,1.55,,보통위험,0,0,0,0,100,0,0,0
60,하나UBS클래스원신종MMF S-36ClassC-P,하나유비에스자산운용,단기금융,2013/10/18,판매,가능,"89,967","93,195",0.35,"94,021","97,006",0.67,1.17,1.13,1.26,,0.41,0.40,0.39,,매우낮은위험,0,0,0,0,100,0,0,0
61,미래에셋G2이노베이터증권자투자신탁(주식)종류C-P,미래에셋자산운용,재간접,2017/02/07,판매,가능,"33,653","90,234",51.61,"31,790","83,357",107.52,36.51,,,,2.97,,,,보통위험,0,0,0,0,100,0,0,0
62,에셋플러스글로벌리치투게더연금증권자투자신탁 1[주식] 종류Ce,에셋플러스자산운용,주식형,2013/07/22,판매,가능,"65,519","88,138",32.36,"36,265","52,536",32.86,15.27,14.24,7.92,,1.39,1.30,1.24,,높은위험,0,0,0,0,100,0,0,0
63,미래에셋퇴직연금트라이엄프전문투자형사모증권투자신탁 1(채권혼합),미래에셋자산운용,재간접,2016/07/15,판매,가능,"88,345","87,804",6.38,"80,137","86,916",7.54,1.85,4.36,,,0.13,0.15,,,보통위험,0,0,0,0,100,0,0,0
64,미래에셋퇴직플랜아시아퍼시픽40증권자투자신탁 1(채권혼합)종류C-P2,미래에셋자산운용,재간접,2007/02/16,판매,가능,"82,163","85,409",7.49,"79,364","86,806",8.07,4.75,19.84,15.08,10.96,1.26,5.96,4.59,3.58,보통위험,0,0,0,0,100,0,0,0
65,미래에셋글로벌솔루션증권자투자신탁(주식-재간접형)종류C-P,미래에셋자산운용,재간접,2016/07/19,판매,가능,"44,671","84,169",41.54,"44,353","71,760",20.32,9.94,16.96,,,1.53,1.23,,,보통위험,0,0,0,0,100,0,0,0
66,한국밸류10년투자증권투자신탁 1(채권혼합)(C-P),한국투자밸류자산운용,혼합채권형,2013/04/02,판매,가능,"64,661","81,423",10.42,"69,489","83,048",11.50,4.35,2.92,3.09,,1.30,1.28,1.26,,보통위험,0,0,0,0,100,0,0,0
67,미래에셋G2이노베이터증권자투자신탁(주식)종류C-P2,미래에셋자산운용,재간접,2017/02/20,판매,가능,"30,667","80,676",61.22,"27,720","71,221",136.69,30.93,,,,2.66,,,,보통위험,0,0,0,0,100,0,0,0
68,미래에셋퇴직연금베스트솔루션전문투자형사모증권투자신탁 1,미래에셋자산운용,재간접,2017/05/23,판매,가능,"78,942","79,024",2.28,"103,706","109,297",5.83,3.64,,,,0.02,,,,보통위험,0,0,0,0,100,0,0,0
69,미래에셋퇴직플랜KRX100인덱스안정형40증권자투자신탁 1(채권혼합)종류C-P2,미래에셋자산운용,재간접,2006/01/02,판매,가능,"72,550","77,228",10.25,"69,582","81,405",13.54,4.83,32.89,22.92,16.61,0.62,1.60,1.32,1.11,보통위험,0,0,0,0,100,0,0,0
70,우리하이플러스채권증권자투자신탁 1(채권)ClassC-P1,우리자산운용,채권형,2014/11/10,판매,가능,"70,855","75,243",0.85,"76,838","80,825",1.87,2.44,2.41,,,0.48,0.47,,,낮은위험,0,0,0,0,100,0,0,0
71,AB글로벌고수익증권투자신탁(채권-재간접형)종류형C-P,얼라이언스번스틴자산운용,재간접,2013/04/10,판매,가능,"61,421","74,377",11.55,"70,616","81,049",-4.23,0.28,3.98,3.39,,0.82,0.81,0.79,,보통위험,0,0,0,0,100,0,0,0
72,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-Pe,미래에셋자산운용,재간접,2017/03/21,판매,가능,"58,644","74,236",31.13,"28,789","34,832",10.51,12.70,,,,0.67,,,,보통위험,0,0,0,0,100,0,0,0
73,미래에셋G2이노베이터증권자투자신탁(주식)종류C-P2e,미래에셋자산운용,재간접,2017/08/07,판매,가능,"35,407","73,818",56.08,"35,646","72,381",152.00,38.95,,,,1.55,,,,보통위험,0,0,0,0,100,0,0,0
74,미래에셋차이나그로스증권자투자신탁 1(주식)종류C-P2e,미래에셋자산운용,재간접,2017/09/20,판매,가능,"44,602","73,675",32.08,"32,802","65,086",140.49,37.79,,,,1.46,,,,보통위험,0,0,0,0,100,0,0,0
75,미래에셋라이프사이클3040연금증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,재간접,2005/10/26,판매,가능,"69,547","70,805",16.62,"65,067","76,008",18.89,4.66,-0.76,0.17,-0.56,1.33,-1.18,-0.47,0.15,보통위험,0,0,0,0,100,0,0,0
76,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁 1(주식) 종류C-P2e,미래에셋자산운용,재간접,2017/09/11,판매,가능,"68,199","70,485",22.17,"45,027","58,165",39.84,17.82,,,,1.04,,,,보통위험,0,0,0,0,100,0,0,0
77,미래에셋개인전용MMF 1(국공채)종류C-P,미래에셋자산운용,재간접,2013/08/27,판매,가능,"69,783","69,876",0.24,"80,901","81,131",0.64,1.15,1.15,1.57,,0.42,0.42,0.42,,보통위험,0,0,0,0,100,0,0,0
78,미래에셋전략배분TDF2040혼합자산자투자신탁 종류C-P2,미래에셋자산운용,재간접,2017/03/24,판매,가능,"43,756","67,493",76.62,"17,713","24,957",42.45,25.49,,,,1.23,,,,보통위험,0,0,0,0,100,0,0,0
79,유진챔피언단기채증권자투자신탁(채권)ClassC-P1,유진자산운용,채권형,2016/08/18,판매,가능,"63,011","65,485",0.60,"66,696","70,085",1.47,2.23,,,,0.32,,,,낮은위험,0,0,0,0,100,0,0,0
80,DBNEW해오름신종MMF 3ClassC-P,디비자산운용,단기금융,2013/04/02,판매,가능,"60,035","64,692",0.60,"61,885","66,272",1.03,1.51,1.45,1.60,,0.28,0.27,0.27,,매우낮은위험,0,0,0,0,100,0,0,0
81,미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P,미래에셋자산운용,재간접,2017/03/21,판매,가능,"41,064","64,443",39.62,"33,371","47,607",25.27,19.23,,,,1.47,,,,보통위험,0,0,0,0,100,0,0,0
82,미래에셋OCIO금리솔루션전문투자형사모투자신탁 1,미래에셋자산운용,재간접,2019/11/29,판매,가능,"62,347","63,998",2.72,"62,347","62,709",2.76,,,,,,,,,보통위험,0,0,0,0,100,0,0,0
83,하나UBS신종MMF S-26 ClassC-P,하나유비에스자산운용,단기금융,2013/07/10,판매,가능,"60,929","63,968",0.49,"61,413","64,220",0.83,1.33,1.29,1.47,,0.28,0.28,0.27,,매우낮은위험,0,0,0,0,100,0,0,0
84,메리츠코리아증권투자신탁 1[주식]종류C-P,메리츠자산운용,주식형,2014/10/08,판매,가능,"57,056","63,597",29.37,"69,671","69,749",27.87,5.47,0.42,,,1.07,1.10,,,높은위험,0,0,0,0,100,0,0,0
85,미래에셋글로벌솔루션40증권자투자신탁 1(채권혼합)종류C-P2,미래에셋자산운용,재간접,2016/10/18,판매,가능,"49,545","63,547",11.00,"50,619","61,452",8.65,5.11,7.24,,,1.08,0.84,,,보통위험,0,0,0,0,100,0,0,0
86,KB연금가치배당40증권자투자신탁(채권혼합) C 클래스,케이비자산운용,혼합채권형,2015/02/02,판매,가능,"55,854","63,532",12.03,"60,669","65,076",5.11,2.68,1.83,,,1.28,1.27,,,보통위험,0,0,0,0,100,0,0,0
87,NH-Amundi개인신종MMF 1ClassC-P,엔에이치아문디자산운용,단기금융,2013/11/05,판매,가능,"59,001","63,115",0.51,"68,140","72,010",0.91,1.30,1.23,1.44,,0.43,0.43,0.41,,매우낮은위험,0,0,0,0,100,0,0,0
88,에셋플러스차이나리치투게더연금증권자투자신탁 1[주식] 종류C,에셋플러스자산운용,주식형,2013/05/21,판매,가능,"39,796","62,982",-5.11,"42,075","75,757",58.41,14.31,14.99,5.21,,2.05,1.83,1.73,,높은위험,0,0,0,0,100,0,0,0
89,한국투자신종개인용MMF3(C-P),한국투자신탁운용,단기금융,2013/04/04,판매,가능,"56,354","62,763",0.60,"60,785","66,932",1.13,1.53,1.43,1.62,,0.29,0.29,0.28,,매우낮은위험,0,0,0,0,100,0,0,0
90,한화연금저축글로벌헬스케어증권자투자신탁(주식)종류C,한화자산운용,주식형,2013/05/22,판매,가능,"38,529","62,440",17.30,"42,622","59,265",24.66,10.00,4.37,6.18,,1.75,1.66,1.63,,높은위험,0,0,0,0,100,0,0,0
91,미래에셋전략배분TDF2035혼합자산자투자신탁 종류C-P,미래에셋자산운용,재간접,2017/03/21,판매,가능,"41,487","61,729",33.93,"33,907","46,476",22.11,17.70,,,,1.18,,,,보통위험,0,0,0,0,100,0,0,0
92,한국투자골드플랜연금증권전환형자투자신탁 1(채권)(C),한국투자신탁운용,채권형,2001/01/31,판매,가능,"51,760","61,491",-2.28,"49,035","59,434",0.79,2.88,1.97,2.79,2.85,0.66,0.64,0.64,0.77,낮은위험,0,0,0,0,100,0,0,0
93,에셋플러스코리아리치투게더연금증권자투자신탁 1[주식] 종류C,에셋플러스자산운용,주식형,2013/05/21,판매,가능,"39,468","60,809",46.78,"46,414","53,957",30.66,1.69,2.76,1.82,,1.39,1.40,1.39,,높은위험,0,0,0,0,100,0,0,0
94,미래에셋차이나그로스증권자투자신탁 1(주식)종류C-P,미래에셋자산운용,재간접,2017/09/19,판매,가능,"37,269","60,532",15.19,"30,610","59,968",96.42,28.93,,,,2.13,,,,보통위험,0,0,0,0,100,0,0,0
95,한국밸류10년투자연금증권전환형자투자신탁 1(채권) C,한국투자밸류자산운용,채권형,2011/07/19,판매,가능,"53,024","59,942",-0.49,"55,205","62,365",1.51,1.96,1.54,1.65,,0.60,0.59,0.58,,낮은위험,0,0,0,0,100,0,0,0
96,하나UBS인Best연금증권자투자신탁 1 [채권],하나유비에스자산운용,채권형,2001/02/01,판매,가능,"43,282","59,860",-4.35,"45,054","63,016",0.79,2.51,1.57,1.91,2.29,1.17,1.16,1.16,1.17,낮은위험,0,0,0,0,100,0,0,0
97,미래에셋라이프사이클7090연금증권전환형자투자신탁 1(채권)종류C,미래에셋자산운용,재간접,2005/10/28,판매,가능,"60,218","59,182",-2.80,"68,004","68,912",1.14,2.71,-42.27,-31.36,-22.09,0.57,0.28,0.36,0.43,보통위험,0,0,0,0,100,0,0,0
98,미래에셋퇴직플랜BRICs업종대표40증권자투자신탁 1(채권혼합)종류C,미래에셋자산운용,재간접,2008/01/02,판매,가능,"61,471","59,165",5.00,"55,178","61,648",13.92,7.91,52.62,35.62,23.72,1.29,2.60,2.21,1.91,보통위험,0,0,0,0,100,0,0,0
99,AB미국그로스증권투자신탁(주식-재간접형)종류형Sp,얼라이언스번스틴자산운용,재간접,2014/05/14,판매,가능,"36,693","59,012",33.75,"31,595","46,719",31.33,19.43,19.50,,,0.48,0.45,,,보통위험,0,0,0,0,100,0,0,0
100,미래에셋차이나그로스증권자투자신탁 1(주식)종류C-Pe,미래에셋자산운용,재간접,2017/09/19,판매,가능,"35,164","58,161",36.74,"24,867","49,441",126.05,36.09,,,,1.59,,,,보통위험,0,0,0,0,100,0,0,0
101,한국투자연금베트남증권자투자신탁(주식혼합)(C),한국투자신탁운용,혼합주식형,2014/12/12,판매,가능,"27,665","57,975",72.15,"40,915","53,484",2.78,-12.84,4.88,,,1.69,1.63,,,높은위험,0,0,0,0,100,0,0,0
